#gene	transcript	clone	chrom	strand	pep_length	spliced_length	start	stop	chrom_start	chrom_stop	genome_start	genome_stop	gmap	source	version	method
CC1G_02808.2	CC1G_02808T0	Chr_1	Chr_1	-1	222	669	280937	282095	280937	282095	280937	282095	0	BroadInstitute	2	predicted
CC1G_02809.2	CC1G_02809T0	Chr_1	Chr_1	+1	563	1692	282365	284203	282365	284203	282365	284203	0	BroadInstitute	2	predicted
CC1G_02810.2	CC1G_02810T0	Chr_1	Chr_1	-1	238	717	284315	285240	284315	285240	284315	285240	0	BroadInstitute	2	predicted
CC1G_02811.2	CC1G_02811T0	Chr_1	Chr_1	-1	259	780	285485	286631	285485	286631	285485	286631	0	BroadInstitute	2	predicted
CC1G_02812.2	CC1G_02812T0	Chr_1	Chr_1	-1	461	1386	287164	289314	287164	289314	287164	289314	0	BroadInstitute	2	predicted
CC1G_02813.2	CC1G_02813T0	Chr_1	Chr_1	+1	577	1734	290377	292782	290377	292782	290377	292782	0	BroadInstitute	2	predicted
CC1G_13566.2	CC1G_13566T0	Chr_1	Chr_1	+1	396	1191	293264	294629	293264	294629	293264	294629	0	BroadInstitute	2	predicted
CC1G_13567.2	CC1G_13567T0	Chr_1	Chr_1	+1	344	1035	294971	296321	294971	296321	294971	296321	0	BroadInstitute	2	predicted
CC1G_02815.2	CC1G_02815T0	Chr_1	Chr_1	+1	299	900	296678	297746	296678	297746	296678	297746	0	BroadInstitute	2	predicted
CC1G_02816.2	CC1G_02816T0	Chr_1	Chr_1	-1	543	1632	298016	299775	298016	299775	298016	299775	0	BroadInstitute	2	predicted
CC1G_02817.2	CC1G_02817T0	Chr_1	Chr_1	-1	303	912	301506	302581	301506	302581	301506	302581	0	BroadInstitute	2	predicted
CC1G_13568.2	CC1G_13568T0	Chr_1	Chr_1	-1	204	615	302882	303706	302882	303706	302882	303706	0	BroadInstitute	2	predicted
CC1G_02818.2	CC1G_02818T0	Chr_1	Chr_1	-1	1467	4404	304283	308871	304283	308871	304283	308871	0	BroadInstitute	2	predicted
CC1G_02819.2	CC1G_02819T0	Chr_1	Chr_1	-1	370	1113	309518	310630	309518	310630	309518	310630	0	BroadInstitute	2	predicted
CC1G_13569.2	CC1G_13569T0	Chr_1	Chr_1	-1	340	1023	311093	312373	311093	312373	311093	312373	0	BroadInstitute	2	predicted
CC1G_13570.2	CC1G_13570T0	Chr_1	Chr_1	-1	1473	4422	312880	317655	312880	317655	312880	317655	0	BroadInstitute	2	predicted
CC1G_02821.2	CC1G_02821T0	Chr_1	Chr_1	-1	277	834	318938	319771	318938	319771	318938	319771	0	BroadInstitute	2	predicted
CC1G_02823.2	CC1G_02823T0	Chr_1	Chr_1	+1	166	501	320977	321585	320977	321585	320977	321585	0	BroadInstitute	2	predicted
CC1G_13571.2	CC1G_13571T0	Chr_1	Chr_1	+1	192	579	321972	322609	321972	322609	321972	322609	0	BroadInstitute	2	predicted
CC1G_02824.2	CC1G_02824T0	Chr_1	Chr_1	+1	290	873	323635	324862	323635	324862	323635	324862	0	BroadInstitute	2	predicted
CC1G_02825.2	CC1G_02825T0	Chr_1	Chr_1	+1	303	912	325710	326849	325710	326849	325710	326849	0	BroadInstitute	2	predicted
CC1G_02826.2	CC1G_02826T0	Chr_1	Chr_1	-1	326	981	326929	328022	326929	328022	326929	328022	0	BroadInstitute	2	predicted
CC1G_02827.2	CC1G_02827T0	Chr_1	Chr_1	+1	244	735	328182	329045	328182	329045	328182	329045	0	BroadInstitute	2	predicted
CC1G_02828.2	CC1G_02828T0	Chr_1	Chr_1	-1	252	759	329584	330403	329584	330403	329584	330403	0	BroadInstitute	2	predicted
CC1G_02829.2	CC1G_02829T0	Chr_1	Chr_1	-1	191	576	331172	331815	331172	331815	331172	331815	0	BroadInstitute	2	predicted
CC1G_02830.2	CC1G_02830T0	Chr_1	Chr_1	-1	175	528	332408	333069	332408	333069	332408	333069	0	BroadInstitute	2	predicted
CC1G_02831.2	CC1G_02831T0	Chr_1	Chr_1	-1	181	546	333403	334059	333403	334059	333403	334059	0	BroadInstitute	2	predicted
CC1G_02832.2	CC1G_02832T0	Chr_1	Chr_1	+1	590	1773	335295	337798	335295	337798	335295	337798	0	BroadInstitute	2	predicted
CC1G_02833.2	CC1G_02833T0	Chr_1	Chr_1	+1	268	807	338300	339506	338300	339506	338300	339506	0	BroadInstitute	2	predicted
CC1G_02834.2	CC1G_02834T0	Chr_1	Chr_1	-1	285	858	339739	340773	339739	340773	339739	340773	0	BroadInstitute	2	predicted
CC1G_02835.2	CC1G_02835T0	Chr_1	Chr_1	-1	648	1947	341683	344577	341683	344577	341683	344577	0	BroadInstitute	2	predicted
CC1G_02836.2	CC1G_02836T0	Chr_1	Chr_1	-1	470	1413	345235	346647	345235	346647	345235	346647	0	BroadInstitute	2	predicted
CC1G_02837.2	CC1G_02837T0	Chr_1	Chr_1	+1	193	582	348859	349565	348859	349565	348859	349565	0	BroadInstitute	2	predicted
CC1G_02838.2	CC1G_02838T0	Chr_1	Chr_1	-1	590	1773	349656	352109	349656	352109	349656	352109	0	BroadInstitute	2	predicted
CC1G_02839.2	CC1G_02839T0	Chr_1	Chr_1	+1	247	744	353539	354282	353539	354282	353539	354282	0	BroadInstitute	2	predicted
CC1G_02840.2	CC1G_02840T0	Chr_1	Chr_1	-1	688	2067	354579	357553	354579	357553	354579	357553	0	BroadInstitute	2	predicted
CC1G_02841.2	CC1G_02841T0	Chr_1	Chr_1	+1	437	1314	357766	359370	357766	359370	357766	359370	0	BroadInstitute	2	predicted
CC1G_02842.2	CC1G_02842T0	Chr_1	Chr_1	+1	264	795	359709	360503	359709	360503	359709	360503	0	BroadInstitute	2	predicted
CC1G_02843.2	CC1G_02843T0	Chr_1	Chr_1	-1	505	1518	360639	362699	360639	362699	360639	362699	0	BroadInstitute	2	predicted
CC1G_02844.2	CC1G_02844T0	Chr_1	Chr_1	+1	392	1179	364161	365339	364161	365339	364161	365339	0	BroadInstitute	2	predicted
CC1G_02845.2	CC1G_02845T0	Chr_1	Chr_1	+1	640	1923	366319	369000	366319	369000	366319	369000	0	BroadInstitute	2	predicted
CC1G_02846.2	CC1G_02846T0	Chr_1	Chr_1	-1	441	1326	369367	371704	369367	371704	369367	371704	0	BroadInstitute	2	predicted
CC1G_02847.2	CC1G_02847T0	Chr_1	Chr_1	+1	319	960	372673	373908	372673	373908	372673	373908	0	BroadInstitute	2	predicted
CC1G_13572.2	CC1G_13572T0	Chr_1	Chr_1	+1	83	252	374792	375150	374792	375150	374792	375150	0	BroadInstitute	2	predicted
CC1G_02848.2	CC1G_02848T0	Chr_1	Chr_1	-1	228	687	375803	376610	375803	376610	375803	376610	0	BroadInstitute	2	predicted
CC1G_02849.2	CC1G_02849T0	Chr_1	Chr_1	+1	1098	3297	376810	380787	376810	380787	376810	380787	0	BroadInstitute	2	predicted
CC1G_02850.2	CC1G_02850T0	Chr_1	Chr_1	+1	299	900	382858	383978	382858	383978	382858	383978	0	BroadInstitute	2	predicted
CC1G_02851.2	CC1G_02851T0	Chr_1	Chr_1	+1	800	2403	385550	388301	385550	388301	385550	388301	0	BroadInstitute	2	predicted
CC1G_02852.2	CC1G_02852T0	Chr_1	Chr_1	+1	338	1017	388916	390453	388916	390453	388916	390453	0	BroadInstitute	2	predicted
CC1G_02853.2	CC1G_02853T0	Chr_1	Chr_1	+1	350	1053	390792	392005	390792	392005	390792	392005	0	BroadInstitute	2	predicted
CC1G_02854.2	CC1G_02854T0	Chr_1	Chr_1	-1	480	1443	392142	393886	392142	393886	392142	393886	0	BroadInstitute	2	predicted
CC1G_02855.2	CC1G_02855T0	Chr_1	Chr_1	-1	509	1530	395847	397592	395847	397592	395847	397592	0	BroadInstitute	2	predicted
CC1G_02856.2	CC1G_02856T0	Chr_1	Chr_1	+1	958	2877	398693	402090	398693	402090	398693	402090	0	BroadInstitute	2	predicted
CC1G_02857.2	CC1G_02857T0	Chr_1	Chr_1	+1	179	540	402744	403456	402744	403456	402744	403456	0	BroadInstitute	2	predicted
CC1G_02858.2	CC1G_02858T0	Chr_1	Chr_1	-1	709	2130	403664	406115	403664	406115	403664	406115	0	BroadInstitute	2	predicted
CC1G_13573.2	CC1G_13573T0	Chr_1	Chr_1	-1	313	942	407207	408448	407207	408448	407207	408448	0	BroadInstitute	2	predicted
CC1G_13574.2	CC1G_13574T0	Chr_1	Chr_1	-1	365	1098	408836	410152	408836	410152	408836	410152	0	BroadInstitute	2	predicted
CC1G_02860.2	CC1G_02860T0	Chr_1	Chr_1	-1	471	1416	410818	412866	410818	412866	410818	412866	0	BroadInstitute	2	predicted
CC1G_02861.2	CC1G_02861T0	Chr_1	Chr_1	+1	699	2100	414369	416853	414369	416853	414369	416853	0	BroadInstitute	2	predicted
CC1G_02862.2	CC1G_02862T0	Chr_1	Chr_1	-1	164	495	416998	417547	416998	417547	416998	417547	0	BroadInstitute	2	predicted
CC1G_02863.2	CC1G_02863T0	Chr_1	Chr_1	-1	363	1092	418378	419633	418378	419633	418378	419633	0	BroadInstitute	2	predicted
CC1G_02864.2	CC1G_02864T0	Chr_1	Chr_1	+1	281	846	420443	421463	420443	421463	420443	421463	0	BroadInstitute	2	predicted
CC1G_02865.2	CC1G_02865T0	Chr_1	Chr_1	-1	649	1950	421851	424004	421851	424004	421851	424004	0	BroadInstitute	2	predicted
CC1G_02867.2	CC1G_02867T0	Chr_1	Chr_1	+1	274	825	428006	428870	428006	428870	428006	428870	0	BroadInstitute	2	predicted
CC1G_02868.2	CC1G_02868T0	Chr_1	Chr_1	+1	158	477	429194	429780	429194	429780	429194	429780	0	BroadInstitute	2	predicted
CC1G_02869.2	CC1G_02869T0	Chr_1	Chr_1	-1	269	810	430168	431373	430168	431373	430168	431373	0	BroadInstitute	2	predicted
CC1G_02870.2	CC1G_02870T0	Chr_1	Chr_1	+1	609	1830	432470	434502	432470	434502	432470	434502	0	BroadInstitute	2	predicted
CC1G_02871.2	CC1G_02871T0	Chr_1	Chr_1	-1	544	1635	434940	436738	434940	436738	434940	436738	0	BroadInstitute	2	predicted
CC1G_02872.2	CC1G_02872T0	Chr_1	Chr_1	-1	1328	3987	437410	442216	437410	442216	437410	442216	0	BroadInstitute	2	predicted
CC1G_02873.2	CC1G_02873T0	Chr_1	Chr_1	+1	785	2358	443908	447396	443908	447396	443908	447396	0	BroadInstitute	2	predicted
CC1G_02874.2	CC1G_02874T0	Chr_1	Chr_1	-1	83	252	447847	448158	447847	448158	447847	448158	0	BroadInstitute	2	predicted
CC1G_13575.2	CC1G_13575T0	Chr_1	Chr_1	-1	111	336	453617	454033	453617	454033	453617	454033	0	BroadInstitute	2	predicted
CC1G_02876.2	CC1G_02876T0	Chr_1	Chr_1	-1	378	1137	454728	456571	454728	456571	454728	456571	0	BroadInstitute	2	predicted
CC1G_02877.2	CC1G_02877T0	Chr_1	Chr_1	+1	970	2913	458235	461634	458235	461634	458235	461634	0	BroadInstitute	2	predicted
CC1G_02878.2	CC1G_02878T0	Chr_1	Chr_1	+1	478	1437	463336	465333	463336	465333	463336	465333	0	BroadInstitute	2	predicted
CC1G_02879.2	CC1G_02879T0	Chr_1	Chr_1	+1	2080	6243	465576	472205	465576	472205	465576	472205	0	BroadInstitute	2	predicted
CC1G_02880.2	CC1G_02880T0	Chr_1	Chr_1	+1	568	1707	473066	475438	473066	475438	473066	475438	0	BroadInstitute	2	predicted
CC1G_02881.2	CC1G_02881T0	Chr_1	Chr_1	-1	506	1521	475704	477836	475704	477836	475704	477836	0	BroadInstitute	2	predicted
CC1G_02882.2	CC1G_02882T0	Chr_1	Chr_1	-1	835	2508	479779	483227	479779	483227	479779	483227	0	BroadInstitute	2	predicted
CC1G_02883.2	CC1G_02883T0	Chr_1	Chr_1	+1	927	2784	484380	488101	484380	488101	484380	488101	0	BroadInstitute	2	predicted
CC1G_02884.2	CC1G_02884T0	Chr_1	Chr_1	-1	502	1509	490248	491809	490248	491809	490248	491809	0	BroadInstitute	2	predicted
CC1G_02885.2	CC1G_02885T0	Chr_1	Chr_1	+1	156	471	492241	492711	492241	492711	492241	492711	0	BroadInstitute	2	predicted
CC1G_02886.2	CC1G_02886T0	Chr_1	Chr_1	+1	371	1116	493166	494446	493166	494446	493166	494446	0	BroadInstitute	2	predicted
CC1G_02887.2	CC1G_02887T0	Chr_1	Chr_1	-1	808	2427	494543	497400	494543	497400	494543	497400	0	BroadInstitute	2	predicted
CC1G_02888.2	CC1G_02888T0	Chr_1	Chr_1	-1	1030	3093	498545	501865	498545	501865	498545	501865	0	BroadInstitute	2	predicted
CC1G_12155.2	CC1G_12155T0	Chr_1	Chr_1	-1	111	336	516614	517000	516614	517000	516614	517000	0	BroadInstitute	2	predicted
CC1G_12156.2	CC1G_12156T0	Chr_1	Chr_1	-1	383	1152	517549	518822	517549	518822	517549	518822	0	BroadInstitute	2	predicted
CC1G_12157.2	CC1G_12157T0	Chr_1	Chr_1	-1	276	831	519123	521650	519123	521650	519123	521650	0	BroadInstitute	2	predicted
CC1G_13576.2	CC1G_13576T0	Chr_1	Chr_1	+1	201	606	522508	523526	522508	523526	522508	523526	0	BroadInstitute	2	predicted
