#chrom	start	stop	block
Chr_2	2045723	2122728	Block_760
Chr_2	228172	265234	Block_582
Chr_2	918548	1028076	Block_488
Chr_2	1834389	1950116	Block_758
Chr_2	595769	615512	Block_581
Chr_2	1265696	1365606	Block_496
Chr_2	2204577	2320312	Block_490
Chr_2	681112	739362	Block_578
Chr_2	2253169	2266956	Block_772
Chr_2	1100072	1160216	Block_492
Chr_2	450416	526258	Block_579
Chr_2	2894111	2909979	Block_773
Chr_2	1380042	1484109	Block_491
Chr_2	2464531	2589569	Block_759
Chr_2	2343113	2369449	Block_764
Chr_2	2774152	2802721	Block_769
Chr_2	1485586	1676304	Block_487
Chr_2	1061639	1099610	Block_494
Chr_2	787037	856483	Block_577
Chr_2	1031531	1058650	Block_497
Chr_2	2713631	2772322	Block_765
Chr_2	1318479	1354744	Block_498
Chr_2	2408198	2432573	Block_766
Chr_2	2916813	2929643	Block_774
Chr_2	896241	918280	Block_499
Chr_2	1213131	1265151	Block_493
Chr_2	2819562	2861032	Block_768
Chr_3	2281433	2300631	Block_795
Chr_3	1653865	1672468	Block_289
Chr_3	2846424	2869906	Block_729
Chr_3	2708745	2735586	Block_720
Chr_3	1107274	1191384	Block_794
Chr_3	2046566	2077204	Block_288
Chr_3	2602568	2618672	Block_734
Chr_3	929788	950784	Block_727
Chr_3	2077418	2106685	Block_723
Chr_3	2972662	3024840	Block_737
Chr_3	2881417	2899763	Block_739
Chr_3	1224165	1249712	Block_730
Chr_3	818984	830091	Block_708
Chr_3	3070497	3104193	Block_732
Chr_3	1716195	1836894	Block_713
Chr_3	1034715	1053111	Block_738
Chr_3	1418914	1464431	Block_286
Chr_3	1307471	1410662	Block_283
Chr_3	2756580	2767493	Block_740
Chr_3	1252236	1307131	Block_714
Chr_3	708769	750382	Block_361
Chr_3	2522140	2576560	Block_717
Chr_3	1622942	1653369	Block_722
Chr_3	1526317	1578748	Block_285
Chr_3	2792498	2826820	Block_735
Chr_3	1191821	1216889	Block_719
Chr_3	2355672	2393021	Block_718
Chr_3	952048	976807	Block_721
Chr_3	1837284	2034393	Block_282
Chr_3	1672929	1715796	Block_287
Chr_3	1591025	1608818	Block_726
Chr_3	1070398	1091403	Block_728
Chr_3	564464	599659	Block_360
Chr_3	1479548	1525288	Block_715
Chr_3	891642	915308	Block_707
Chr_3	2108717	2135851	Block_725
Chr_3	2315316	2326183	Block_290
Chr_3	2327641	2344626	Block_733
Chr_3	2586135	2706687	Block_712
Chr_3	1466079	1479101	Block_291
Chr_3	2488194	2511670	Block_731
Chr_3	629816	664361	Block_362
Chr_3	2244458	2277740	Block_716
Chr_3	2211775	2230415	Block_724
Chr_3	2971174	3000562	Block_736
Chr_3	2405491	2482520	Block_284
Chr_4	2544891	2563745	Block_306
Chr_4	1657722	1679964	Block_309
Chr_4	1372862	1414042	Block_825
Chr_4	2338576	2354177	Block_315
Chr_4	2659543	2697826	Block_567
Chr_4	426198	496804	Block_575
Chr_4	1390678	1428149	Block_821
Chr_4	2773372	2819929	Block_566
Chr_4	2176504	2211090	Block_320
Chr_4	2029042	2173645	Block_300
Chr_4	1818499	1833542	Block_824
Chr_4	1493718	1509861	Block_310
Chr_4	3376622	3406434	Block_368
Chr_4	1558463	1581216	Block_303
Chr_4	1617480	1643575	Block_305
Chr_4	1196758	1312120	Block_451
Chr_4	275998	325966	Block_822
Chr_4	2220749	2235969	Block_316
Chr_4	2500731	2528083	Block_313
Chr_4	1848597	1880745	Block_308
Chr_4	1730570	1747607	Block_319
Chr_4	403267	488350	Block_450
Chr_4	1881891	1942090	Block_307
Chr_4	2383019	2407301	Block_314
Chr_4	2388604	2436077	Block_702
Chr_4	153697	249660	Block_628
Chr_4	1277268	1324745	Block_826
Chr_4	1587144	1607379	Block_701
Chr_4	1335947	1388746	Block_820
Chr_4	970918	1051286	Block_292
Chr_4	2575530	2605479	Block_318
Chr_4	2236515	2274765	Block_301
Chr_4	2275252	2317400	Block_304
Chr_4	3130557	3158378	Block_369
Chr_4	2867871	2953141	Block_568
Chr_4	2323988	2337353	Block_312
Chr_4	1995359	2015800	Block_302
Chr_4	1696128	1730354	Block_317
Chr_4	1449882	1490047	Block_823
Chr_4	1789648	1816548	Block_311
Chr_5	2299506	2322400	Block_656
Chr_5	1794787	1923641	Block_643
Chr_5	2957819	2978313	Block_660
Chr_5	2131835	2171446	Block_503
Chr_5	2574299	2603420	Block_659
Chr_5	851276	903181	Block_470
Chr_5	1209129	1290061	Block_645
Chr_5	302728	356133	Block_469
Chr_5	1923825	2059723	Block_641
Chr_5	1586077	1615341	Block_654
Chr_5	1754902	1791445	Block_647
Chr_5	3009259	3056325	Block_650
Chr_5	1290336	1456802	Block_640
Chr_5	2770885	2802059	Block_661
Chr_5	752265	844013	Block_466
Chr_5	2635968	2653482	Block_662
Chr_5	2382471	2419558	Block_655
Chr_5	700382	725530	Block_471
Chr_5	903405	1123802	Block_501
Chr_5	1706507	1754190	Block_646
Chr_5	1125299	1142903	Block_468
Chr_5	1163640	1201853	Block_502
Chr_5	360884	388170	Block_475
Chr_5	582427	623863	Block_467
Chr_5	516159	527310	Block_474
Chr_5	1480485	1585461	Block_644
Chr_5	2464855	2475419	Block_663
Chr_5	677326	686293	Block_473
Chr_5	2672528	2729663	Block_653
Chr_5	393147	466642	Block_630
Chr_5	1621295	1649487	Block_651
Chr_5	3226943	3332622	Block_396
Chr_5	2431104	2464675	Block_649
Chr_5	559059	594605	Block_472
Chr_5	2491862	2518210	Block_657
Chr_5	2069510	2126241	Block_629
Chr_5	2349870	2379073	Block_652
Chr_5	2139308	2287199	Block_642
Chr_5	1651407	1702697	Block_648
Chr_5	2824303	2844009	Block_658
Chr_6	693547	717444	Block_805
Chr_6	1014990	1030402	Block_809
Chr_6	1047519	1069224	Block_804
Chr_6	1457898	1500205	Block_486
Chr_6	566950	623577	Block_800
Chr_6	1348237	1362367	Block_749
Chr_6	912173	956348	Block_801
Chr_6	740392	759095	Block_808
Chr_6	780709	809738	Block_802
Chr_6	472047	512881	Block_807
Chr_6	206492	228807	Block_806
Chr_6	394453	416568	Block_803
Chr_7	594827	603656	Block_365
Chr_7	1116284	1139923	Block_519
Chr_7	1442010	1451364	Block_524
Chr_7	658302	685360	Block_523
Chr_7	2091106	2113429	Block_455
Chr_7	1027538	1090023	Block_520
Chr_7	1987567	2006526	Block_521
Chr_7	2427016	2447815	Block_457
Chr_7	2008514	2045227	Block_453
Chr_7	1148324	1255917	Block_506
Chr_7	402836	499247	Block_366
Chr_7	1754105	1775647	Block_522
Chr_7	1703544	1719516	Block_525
Chr_7	2582017	2607665	Block_587
Chr_7	838380	879025	Block_512
Chr_7	1942820	1963204	Block_517
Chr_7	2071682	2085412	Block_458
Chr_7	2190788	2211500	Block_465
Chr_7	2216446	2245951	Block_454
Chr_7	1228455	1356517	Block_504
Chr_7	2148867	2172014	Block_516
Chr_7	2255916	2289915	Block_452
Chr_7	1365713	1440226	Block_511
Chr_7	1409623	1529330	Block_505
Chr_7	1557063	1586212	Block_514
Chr_7	738155	806829	Block_364
Chr_7	1777311	1859268	Block_508
Chr_7	937243	996260	Block_513
Chr_7	922936	931598	Block_515
Chr_7	485644	514545	Block_518
Chr_7	1658208	1692198	Block_509
Chr_7	2298618	2314811	Block_456
Chr_7	1001110	1092833	Block_510
Chr_7	1925844	2050249	Block_810
Chr_7	1592793	1653472	Block_507
Chr_8	829920	936607	Block_588
Chr_8	1944915	1956594	Block_605
Chr_8	936800	964508	Block_594
Chr_8	1614083	1668551	Block_593
Chr_8	1706212	1718189	Block_607
Chr_8	1817658	1843646	Block_600
Chr_8	2095024	2108016	Block_638
Chr_8	488919	558535	Block_665
Chr_8	1176514	1187278	Block_610
Chr_8	1424413	1456070	Block_598
Chr_8	972930	1023971	Block_599
Chr_8	1547174	1563203	Block_609
Chr_8	733661	764357	Block_592
Chr_8	1846103	1902842	Block_595
Chr_8	1229106	1297545	Block_589
Chr_8	1040618	1095641	Block_590
Chr_8	1297810	1336295	Block_597
Chr_8	1214812	1225302	Block_606
Chr_8	1029735	1039700	Block_604
Chr_8	1120813	1147051	Block_601
Chr_8	354479	461001	Block_664
Chr_8	1343717	1401278	Block_591
Chr_8	1478676	1513637	Block_596
Chr_8	1719957	1745434	Block_602
Chr_8	1685182	1701613	Block_608
Chr_8	1401555	1424033	Block_603
Chr_9	571174	594492	Block_571
Chr_9	1259180	1290452	Block_342
Chr_9	1597713	1615162	Block_347
Chr_9	1775830	1806510	Block_346
Chr_9	1856321	1893916	Block_341
Chr_9	1679433	1697610	Block_353
Chr_9	1421064	1458450	Block_354
Chr_9	2172309	2229901	Block_349
Chr_9	1586503	1596027	Block_352
Chr_9	1112780	1146624	Block_344
Chr_9	418728	438118	Block_570
Chr_9	1291065	1317612	Block_351
Chr_9	966002	988690	Block_350
Chr_9	1486148	1521509	Block_348
Chr_9	1897893	1928554	Block_345
Chr_9	518290	533502	Block_367
Chr_9	661645	694492	Block_573
Chr_9	1552146	1567200	Block_343
