model1	model2	geneconfig	chrom	model1_start	model1_stop	model1_strand	model2_start	model2_end	model2_strand	ds	dn	dsdn
CC1G_01416	CC1G_01417	HeadtoTail	Ccin_Chr_5	2400812	2401485	-	2401894	2402447	-	1.95	0.63	3.10
CC1G_12031	CC1G_12032	HeadtoTail	Ccin_Chr_11	19926	20595	+	20874	21440	+	1.08	0.61	1.76
CC1G_04982	CC1G_04983	HeadtoTail	Ccin_Chr_8	1738674	1740046	-	1741123	1742582	-	3.41	1.12	3.06
CC1G_13615	CC1G_12188	HeadtoTail	Ccin_Chr_1	1152132	1153536	+	1154178	1155481	+	0.52	0.26	2.02
CC1G_14526	CC1G_08927	HeadtoTail	Ccin_Chr_5	36713	40318	-	40743	43239	-	3.00	1.24	2.43
CC1G_06164	CC1G_06165	HeadtoTail	Ccin_Chr_4	2763251	2764007	+	2764639	2765423	+	NA	0.79	NA
CC1G_05160	CC1G_05161	HeadtoTail	Ccin_Chr_2	2014688	2015384	-	2015894	2016587	-	NA	0.53	NA
CC1G_02154	CC1G_02155	HeadtoTail	Ccin_Chr_10	1787782	1788294	-	1789313	1790023	-	1.27	0.95	1.33
CC1G_10394	CC1G_10395	HeadtoTail	Ccin_Chr_2	3257163	3258313	+	3259524	3260690	+	1.48	0.34	4.37
CC1G_11784	CC1G_11785	TailtoTail	Ccin_Chr_12	2079578	2080018	-	2082897	2083450	+	0.93	0.40	2.34
CC1G_10012	CC1G_10013	HeadtoTail	Ccin_Chr_9	2454712	2455394	+	2456145	2456850	+	1.59	0.30	5.25
CC1G_04995	CC1G_04996	HeadtoTail	Ccin_Chr_8	1770510	1771738	-	1772477	1774172	-	2.29	0.83	2.77
CC1G_05673	CC1G_05674	HeadtoTail	Ccin_Chr_7	2052331	2053719	-	2054374	2055703	-	0.82	0.46	1.79
CC1G_13558	CC1G_02781	HeadtoTail	Ccin_Chr_1	198054	198461	-	199657	200013	-	1.48	0.65	2.28
CC1G_04723	CC1G_04724	HeadtoTail	Ccin_Chr_13	609011	609466	-	611615	612208	-	1.06	0.73	1.44
CC1G_12267	CC1G_12268	HeadtoTail	Ccin_Chr_8	2046796	2047267	-	2048272	2048859	-	26.73	0.94	28.32
CC1G_00717	CC1G_00718	HeadtoTail	Ccin_Chr_1	3696293	3698135	+	3699472	3700344	+	1.50	0.67	2.23
CC1G_14113	CC1G_14114	HeadtoTail	Ccin_Chr_3	680141	681245	+	681309	681908	+	NA	1.50	NA
CC1G_12527	CC1G_12528	HeadtoTail	Ccin_Chr_12	1130575	1131147	-	1132941	1133369	-	2.29	1.95	1.17
CC1G_02587	CC1G_02588	HeadtoTail	Ccin_Chr_4	161942	163006	+	163152	163843	+	0.27	0.11	2.44
CC1G_08197	CC1G_14553	HeadtoTail	Ccin_Chr_5	611587	613086	-	613835	614159	-	0.78	0.31	2.52
CC1G_15153	CC1G_15154	HeadtoTail	Ccin_Chr_9	864805	866181	+	866490	867942	+	3.58	1.83	1.96
CC1G_04099	CC1G_04100	HeadtoTail	Ccin_Chr_4	3348561	3353065	+	3353230	3354744	+	2.47	0.73	3.37
CC1G_14903	CC1G_05886	HeadtoTail	Ccin_Chr_7	2526960	2530717	-	2531297	2535112	-	NA	0.42	NA
CC1G_14020	CC1G_10415	HeadtoTail	Ccin_Chr_2	3304318	3304653	-	3306491	3308556	-	NA	1.04	NA
CC1G_09934	CC1G_11404	HeadtoTail	Ccin_Chr_5	784268	785859	-	785909	789304	-	NA	1.21	NA
CC1G_15327	CC1G_15328	HeadtoTail	Ccin_Chr_10	1606466	1608815	+	1609714	1610292	+	NA	1.07	NA
CC1G_14697	CC1G_01469	HeadtoTail	Ccin_Chr_5	2538022	2538382	+	2538955	2539549	+	NA	1.08	NA
CC1G_09590	CC1G_09591	HeadtoTail	Ccin_Chr_3	1527	4911	-	6045	7689	-	3.05	1.34	2.28
CC1G_02785	CC1G_02786	HeadtoTail	Ccin_Chr_1	215081	215665	-	217278	217730	-	0.31	0.05	5.76
CC1G_12338	CC1G_15804	HeadtoTail	Ccin_Chr_13	918317	919403	+	919779	920743	+	1.84	0.65	2.81
CC1G_06141	CC1G_06142	HeadtoTail	Ccin_Chr_2	3121227	3122650	+	3122796	3124269	+	1.81	0.42	4.34
CC1G_06586	CC1G_06587	HeadtoTail	Ccin_Chr_1	2890366	2890932	+	2891436	2892146	+	2.95	0.25	11.65
CC1G_11588	CC1G_11589	HeadtoTail	Ccin_Chr_12	976465	978033	-	977766	978828	-	4.53	0.97	4.67
CC1G_08056	CC1G_08057	HeadtoTail	Ccin_Chr_4	3021241	3021729	+	3022727	3023520	+	0.94	0.23	4.14
CC1G_01125	CC1G_01126	HeadtoTail	Ccin_Chr_2	1011980	1013204	+	1013610	1014968	+	NA	1.33	NA
CC1G_02763	CC1G_02765	HeadtoTail	Ccin_Chr_1	148261	149391	-	150894	151846	-	NA	1.46	NA
CC1G_01126	CC1G_01127	HeadtoTail	Ccin_Chr_2	1013610	1014968	+	1015436	1016906	+	NA	0.85	NA
CC1G_06009	CC1G_06010	HeadtoTail	Ccin_Chr_3	265405	266201	+	266372	266826	+	1.45	0.32	4.59
CC1G_06008	CC1G_06009	HeadtoTail	Ccin_Chr_3	264398	264880	+	265405	266201	+	2.01	0.40	5.07
CC1G_06541	CC1G_13711	HeadtoTail	Ccin_Chr_1	2779805	2780363	-	2780401	2780987	-	NA	2.06	NA
CC1G_10389	CC1G_10390	HeadtoTail	Ccin_Chr_2	3248144	3248806	-	3249245	3249907	-	1.50	0.28	5.36
CC1G_15111	CC1G_15112	HeadtoTail	Ccin_Chr_9	137621	140435	-	141028	143234	-	NA	1.75	NA
CC1G_11403	CC1G_11402	HeadtoTail	Ccin_Chr_5	790040	791560	-	791954	793171	-	2.75	0.94	2.92
CC1G_11533	CC1G_11535	TailtoTail	Ccin_Chr_3	2205379	2206459	-	2208430	2209663	+	NA	1.89	NA
CC1G_15384	CC1G_05844	HeadtoTail	Ccin_Chr_12	318697	318914	+	325139	326703	+	NA	0.92	NA
CC1G_05844	CC1G_05845	HeadtoTail	Ccin_Chr_12	325139	326703	+	327108	329349	+	1.58	0.38	4.20
CC1G_07968	CC1G_07969	HeadtoTail	Ccin_Chr_13	457766	459138	+	459786	461131	+	2.65	0.42	6.34
CC1G_07607	CC1G_07608	HeadtoTail	Ccin_Chr_4	2621521	2623636	+	2624085	2625179	+	1.44	0.55	2.62
CC1G_07608	CC1G_07609	HeadtoTail	Ccin_Chr_4	2624085	2625179	+	2625414	2626484	+	NA	0.99	NA
CC1G_10990	CC1G_10991	HeadtoTail	Ccin_Chr_5	3318641	3321182	-	3322327	3323822	-	NA	1.05	NA
CC1G_08679	CC1G_08680	HeadtoTail	Ccin_Chr_6	452398	454745	-	455215	457572	-	1.12	0.29	3.85
CC1G_14982	CC1G_14983	HeadtoTail	Ccin_Chr_8	943386	944921	-	945041	945700	-	NA	1.41	NA
CC1G_14179	CC1G_14180	HeadtoTail	Ccin_Chr_3	1606611	1607070	-	1607329	1608818	-	NA	1.01	NA
CC1G_02795	CC1G_13562	HeadtoTail	Ccin_Chr_1	239932	241088	-	243444	244449	-	0.73	0.18	4.02
CC1G_10989	CC1G_10990	HeadtoHead	Ccin_Chr_5	3316608	3318205	+	3318641	3321182	-	NA	1.03	NA
CC1G_04868	CC1G_04869	HeadtoTail	Ccin_Chr_2	3503862	3505401	-	3506101	3508170	-	NA	0.58	NA
CC1G_08558	CC1G_08559	HeadtoTail	Ccin_Chr_9	1996973	1999471	-	1999965	2001545	-	NA	0.73	NA
CC1G_15241	CC1G_01507	HeadtoTail	Ccin_Chr_10	130737	131767	+	132357	133373	+	NA	1.23	NA
CC1G_12147	CC1G_12148	HeadtoTail	Ccin_Chr_5	3288229	3289903	+	3290367	3291680	+	NA	0.40	NA
CC1G_15240	CC1G_15241	HeadtoTail	Ccin_Chr_10	129983	130483	+	130737	131767	+	NA	1.46	NA
CC1G_12296	CC1G_12297	HeadtoTail	Ccin_Chr_2	663964	664551	+	665945	666532	+	0.52	0.23	2.32
CC1G_12146	CC1G_12147	HeadtoTail	Ccin_Chr_5	3285721	3287546	+	3288229	3289903	+	2.03	0.24	8.60
CC1G_04786	CC1G_04787	HeadtoTail	Ccin_Chr_13	785942	787515	-	787844	789485	-	NA	0.50	NA
CC1G_14203	CC1G_14204	HeadtoTail	Ccin_Chr_3	1932933	1937273	-	1937482	1938756	-	3.56	1.22	2.93
CC1G_11032	CC1G_11033	HeadtoTail	Ccin_Chr_10	829825	831893	+	832605	834682	+	NA	0.47	NA
CC1G_05447	CC1G_07995	HeadtoTail	Ccin_Chr_8	345665	346884	-	346908	349142	-	3.47	1.05	3.31
CC1G_01577	CC1G_01578	HeadtoTail	Ccin_Chr_10	363425	364789	+	365410	366547	+	2.16	0.27	7.94
CC1G_04911	CC1G_04912	TailtoTail	Ccin_Chr_2	3609263	3609823	-	3610905	3611491	+	2.13	0.69	3.09
CC1G_10853	CC1G_10854	HeadtoTail	Ccin_Chr_10	2114825	2115851	+	2116732	2117560	+	2.37	0.20	11.65
CC1G_11524	CC1G_11525	HeadtoTail	Ccin_Chr_2	2648618	2649792	+	2650381	2652151	+	NA	0.41	NA
CC1G_09291	CC1G_09292	HeadtoTail	Ccin_Chr_3	3588784	3590761	+	3591813	3594211	+	NA	0.64	NA
CC1G_06811	CC1G_06812	HeadtoTail	Ccin_Chr_1	1870088	1871263	+	1871756	1875115	+	2.46	0.69	3.60
CC1G_12141	CC1G_12142	HeadtoTail	Ccin_Chr_5	3277245	3278555	+	3279539	3280517	+	NA	0.82	NA
CC1G_15312	CC1G_15313	HeadtoTail	Ccin_Chr_10	1316141	1317208	-	1317252	1319512	-	NA	1.09	NA
CC1G_15317	CC1G_11876	HeadtoTail	Ccin_Chr_10	1364847	1365592	-	1365819	1368283	-	1.48	1.15	1.28
CC1G_01788	CC1G_01789	HeadtoTail	Ccin_Chr_1	2561151	2562077	-	2562478	2563426	-	NA	0.41	NA
CC1G_00025	CC1G_00028	HeadtoTail	Ccin_Chr_5	930779	933389	-	935616	937022	-	3.03	1.36	2.22
CC1G_06485	CC1G_06487	HeadtoTail	Ccin_Chr_12	1360078	1361136	+	1361503	1362546	+	2.41	0.22	11.17
CC1G_01768	CC1G_01769	HeadtoTail	Ccin_Chr_1	2515728	2519135	-	2519826	2522018	-	NA	1.34	NA
CC1G_14460	CC1G_14461	HeadtoTail	Ccin_Chr_4	2834842	2835148	+	2835288	2836480	+	2.10	1.14	1.84
CC1G_00906	CC1G_00907	HeadtoTail	Ccin_Chr_7	1399038	1401752	+	1401829	1402355	+	NA	1.07	NA
CC1G_14056	CC1G_14057	HeadtoTail	Ccin_Chr_3	71326	72816	-	73082	74543	-	NA	1.34	NA
CC1G_00518	CC1G_00519	HeadtoTail	Ccin_Chr_1	3129750	3130533	+	3130713	3131521	+	NA	0.22	NA
CC1G_05380	CC1G_05381	HeadtoTail	Ccin_Chr_8	173631	175111	+	175166	176444	+	NA	0.30	NA
CC1G_15173	CC1G_07687	HeadtoTail	Ccin_Chr_9	1158796	1159260	-	1159336	1160077	-	1.23	1.34	0.92
CC1G_00321	CC1G_00322	HeadtoTail	Ccin_Chr_5	1608124	1609340	-	1609750	1611318	-	NA	1.02	NA
CC1G_15821	CC1G_15822	HeadtoTail	Ccin_U391	2253	3395	-	3950	4921	-	NA	0.23	NA
CC1G_15802	CC1G_15803	HeadtoTail	Ccin_Chr_13	914512	915636	+	915752	918116	+	2.59	1.32	1.96
CC1G_11132	CC1G_11133	HeadtoTail	Ccin_Chr_3	430668	431427	-	431829	432611	-	NA	0.36	NA
CC1G_15778	CC1G_15779	HeadtoTail	Ccin_Chr_13	479278	480204	+	480473	482620	+	NA	1.38	NA
CC1G_15546	CC1G_15547	HeadtoTail	Ccin_Chr_6	683599	684075	+	684209	686247	+	NA	1.11	NA
CC1G_14272	CC1G_14273	HeadtoTail	Ccin_Chr_3	2992489	2993045	+	2993775	2996945	+	NA	1.07	NA
CC1G_10632	CC1G_10633	HeadtoTail	Ccin_Chr_5	2766885	2768678	+	2768952	2770746	+	NA	0.23	NA
CC1G_14532	CC1G_08909	HeadtoTail	Ccin_Chr_5	96325	97797	-	98298	98819	-	NA	1.15	NA
CC1G_09701	CC1G_09702	HeadtoTail	Ccin_Chr_10	1220211	1220865	+	1220999	1221935	+	NA	0.45	NA
CC1G_11035	CC1G_11036	HeadtoTail	Ccin_Chr_10	836870	839046	-	839641	841773	-	NA	0.38	NA
CC1G_12126	CC1G_12127	HeadtoTail	Ccin_Chr_4	37614	38648	+	38964	40351	+	1.20	0.35	3.40
CC1G_09193	CC1G_09194	HeadtoTail	Ccin_Chr_2	2876279	2877997	+	2878488	2880011	+	3.91	0.86	4.57
CC1G_06691	CC1G_14539	TailtoTail	Ccin_Chr_5	225494	227500	-	228209	230050	+	NA	1.64	NA
CC1G_07848	CC1G_07849	HeadtoTail	Ccin_Chr_4	1226639	1228316	+	1228740	1230265	+	NA	0.99	NA
CC1G_07849	CC1G_07850	HeadtoTail	Ccin_Chr_4	1228740	1230265	+	1230812	1232380	+	NA	1.01	NA
CC1G_02061	CC1G_14206	HeadtoTail	Ccin_Chr_3	1952355	1954216	-	1955284	1955798	-	NA	0.96	NA
CC1G_15698	CC1G_15699	HeadtoTail	Ccin_Chr_11	993594	996359	+	996449	996784	+	NA	1.23	NA
CC1G_03341	CC1G_03342	HeadtoTail	Ccin_Chr_8	555831	557085	-	557266	558535	-	3.88	0.57	6.85
CC1G_13675	CC1G_03741	HeadtoTail	Ccin_Chr_1	2155140	2157005	-	2157164	2158511	-	2.28	1.41	1.61
CC1G_09172	CC1G_09173	HeadtoHead	Ccin_Chr_2	2837981	2838931	+	2839330	2840682	-	2.89	0.91	3.18
CC1G_09171	CC1G_09172	TailtoTail	Ccin_Chr_2	2836157	2837457	-	2837981	2838931	+	NA	1.18	NA
CC1G_15695	CC1G_15696	HeadtoTail	Ccin_Chr_11	938259	941190	-	941196	941399	-	2.80	1.09	2.57
CC1G_14523	CC1G_14524	HeadtoTail	Ccin_Chr_4	3502738	3503520	+	3503609	3504223	+	1.86	1.36	1.37
CC1G_04158	CC1G_14523	TailtoTail	Ccin_Chr_4	3499808	3501061	-	3502738	3503520	+	0.94	0.36	2.60
CC1G_13668	CC1G_03641	HeadtoTail	Ccin_Chr_1	1921101	1923969	-	1924210	1925157	-	3.28	1.16	2.83
CC1G_12557	CC1G_12558	HeadtoTail	Ccin_Chr_6	187340	187942	-	188171	188959	-	NA	1.42	NA
CC1G_13688	CC1G_13689	HeadtoTail	Ccin_Chr_1	2344853	2347148	-	2347245	2348020	-	2.04	1.46	1.39
CC1G_13715	CC1G_13716	HeadtoTail	Ccin_Chr_1	2795668	2796444	+	2796570	2797314	+	NA	0.42	NA
CC1G_14358	CC1G_14359	HeadtoTail	Ccin_Chr_4	1152053	1153854	-	1154154	1155964	-	2.09	0.51	4.08
CC1G_04375	CC1G_04376	HeadtoTail	Ccin_Chr_1	782153	784421	-	784543	786750	-	3.69	0.55	6.68
CC1G_12665	CC1G_12666	HeadtoTail	Ccin_Chr_1	1562711	1564653	+	1564851	1565926	+	NA	0.68	NA
CC1G_10151	CC1G_10150	HeadtoHead	Ccin_Chr_7	59088	60007	+	61943	62817	-	NA	0.69	NA
CC1G_07067	CC1G_07068	HeadtoTail	Ccin_Chr_4	2323848	2326087	+	2326888	2329286	+	NA	0.67	NA
CC1G_13763	CC1G_13764	HeadtoTail	Ccin_Chr_1	3577988	3581643	-	3581792	3583692	-	3.08	1.38	2.24
CC1G_06767	CC1G_13654	HeadtoTail	Ccin_Chr_1	1768208	1770628	+	1771095	1771772	+	NA	1.23	NA
CC1G_13921	CC1G_13922	HeadtoTail	Ccin_Chr_2	1741463	1744123	+	1744236	1744796	+	NA	1.24	NA
CC1G_09148	CC1G_09149	HeadtoTail	Ccin_Chr_2	2775615	2776424	-	2777581	2778597	-	2.33	0.33	7.08
CC1G_12452	CC1G_12453	TailtoTail	Ccin_Chr_10	2221995	2223428	-	2224732	2226090	+	NA	0.65	NA
CC1G_11900	CC1G_11901	HeadtoTail	Ccin_Chr_9	2325797	2326855	+	2327417	2328477	+	0.27	0.07	3.83
CC1G_02264	CC1G_02265	HeadtoHead	Ccin_Chr_3	2958559	2959727	+	2959828	2960847	-	0.05	0.03	1.98
CC1G_13888	CC1G_13889	HeadtoTail	Ccin_Chr_2	1201370	1201946	+	1202209	1204877	+	NA	1.30	NA
CC1G_04789	CC1G_04790	HeadtoTail	Ccin_Chr_13	793926	794509	-	795149	795931	-	NA	0.73	NA
CC1G_11094	CC1G_11093	HeadtoTail	Ccin_Chr_5	467906	468877	+	469350	470290	+	1.68	0.51	3.29
CC1G_11093	CC1G_11092	HeadtoTail	Ccin_Chr_5	469350	470290	+	470789	471786	+	1.58	0.47	3.36
CC1G_14675	CC1G_14676	HeadtoTail	Ccin_Chr_5	2188942	2190441	-	2190955	2192267	-	NA	1.37	NA
CC1G_01430	CC1G_01431	HeadtoTail	Ccin_Chr_5	2441426	2442331	+	2443538	2444388	+	1.04	0.53	1.98
CC1G_06290	CC1G_06291	HeadtoTail	Ccin_Chr_4	1733561	1736308	+	1736545	1739419	+	3.89	0.81	4.80
CC1G_07212	CC1G_15632	HeadtoTail	Ccin_Chr_6	1987003	1988792	+	1989012	1990429	+	1.48	0.49	3.05
CC1G_15278	CC1G_15279	HeadtoTail	Ccin_Chr_10	717599	717976	-	718016	718799	-	NA	1.21	NA
CC1G_15277	CC1G_15278	HeadtoTail	Ccin_Chr_10	715889	717146	-	717599	717976	-	1.85	0.73	2.53
CC1G_12419	CC1G_12420	HeadtoTail	Ccin_Chr_4	2206775	2207433	+	2208694	2211093	+	1.62	0.14	11.67
CC1G_13881	CC1G_01184	HeadtoTail	Ccin_Chr_2	1145629	1146137	+	1146789	1147996	+	NA	1.27	NA
CC1G_13880	CC1G_13881	HeadtoTail	Ccin_Chr_2	1144445	1145174	+	1145629	1146137	+	NA	1.16	NA
CC1G_14634	CC1G_14635	HeadtoTail	Ccin_Chr_5	1594924	1597437	+	1597507	1599374	+	2.64	1.55	1.71
CC1G_14494	CC1G_14495	HeadtoTail	Ccin_Chr_4	3217444	3220399	-	3221167	3222455	-	NA	1.19	NA
CC1G_03481	CC1G_03482	HeadtoTail	Ccin_Chr_9	1636341	1637239	-	1637556	1638401	-	NA	0.86	NA
CC1G_14804	CC1G_14805	HeadtoTail	Ccin_Chr_7	939604	940737	+	940837	941130	+	NA	0.87	NA
CC1G_03314	CC1G_03315	HeadtoTail	Ccin_Chr_3	2844567	2845767	+	2846424	2847648	+	NA	0.29	NA
CC1G_05861	CC1G_05862	HeadtoTail	Ccin_Chr_12	366451	367044	-	367310	368042	-	1.70	1.26	1.35
CC1G_03646	CC1G_03647	HeadtoTail	Ccin_Chr_1	1931973	1932396	+	1932601	1934987	+	NA	1.13	NA
CC1G_05601	CC1G_15767	HeadtoTail	Ccin_Chr_13	145881	146474	+	147451	148175	+	NA	1.56	NA
CC1G_15028	CC1G_15029	HeadtoTail	Ccin_Chr_8	1594305	1595353	-	1595590	1596468	-	NA	1.61	NA
CC1G_04508	CC1G_04509	HeadtoTail	Ccin_Chr_3	1004718	1006463	+	1006664	1008179	+	2.72	0.47	5.77
CC1G_13904	CC1G_13905	HeadtoTail	Ccin_Chr_2	1451339	1452521	+	1452652	1454194	+	NA	1.00	NA
CC1G_10758	CC1G_10759	HeadtoTail	Ccin_Chr_4	837816	839250	-	839674	841267	-	NA	0.53	NA
CC1G_01588	CC1G_01589	HeadtoTail	Ccin_Chr_10	389004	390311	-	391069	393204	-	1.98	0.30	6.67
CC1G_10484	CC1G_15370	TailtoTail	Ccin_Chr_12	66426	66968	-	67692	69783	+	0.95	0.24	3.99
CC1G_15171	CC1G_15172	HeadtoTail	Ccin_Chr_9	1154343	1154921	+	1155048	1155877	+	2.46	1.32	1.87
CC1G_09723	CC1G_09724	HeadtoTail	Ccin_Chr_10	1284520	1287589	-	1287857	1288582	-	NA	1.17	NA
CC1G_07048	CC1G_07049	HeadtoTail	Ccin_Chr_4	2257753	2259081	+	2260022	2261908	+	3.14	1.40	2.25
CC1G_05560	CC1G_05561	HeadtoHead	Ccin_Chr_13	33654	34392	+	36872	39071	-	1.12	0.57	1.97
CC1G_06021	CC1G_06022	HeadtoTail	Ccin_Chr_3	303124	304110	-	305539	306530	-	0.62	0.30	2.03
CC1G_15666	CC1G_15667	HeadtoTail	Ccin_Chr_11	506355	506754	-	507982	508370	-	NA	1.64	NA
CC1G_06042	CC1G_06043	HeadtoTail	Ccin_Chr_3	352929	353919	+	355371	356358	+	0.60	0.27	2.22
CC1G_05526	CC1G_05525	HeadtoTail	Ccin_Chr_11	1381119	1381723	+	1382703	1384023	+	2.48	0.73	3.41
CC1G_05527	CC1G_05526	HeadtoTail	Ccin_Chr_11	1379314	1380709	+	1381119	1381723	+	NA	0.99	NA
CC1G_11383	CC1G_14572	HeadtoTail	Ccin_Chr_5	844974	845627	+	846132	847066	+	2.09	2.05	1.02
CC1G_15274	CC1G_09408	HeadtoTail	Ccin_Chr_10	640748	641629	+	643746	645372	+	4.57	1.04	4.40
CC1G_04489	CC1G_04490	HeadtoTail	Ccin_Chr_3	958600	959871	-	960258	961107	-	NA	0.83	NA
CC1G_04488	CC1G_04489	HeadtoTail	Ccin_Chr_3	957349	958213	-	958600	959871	-	NA	0.80	NA
CC1G_15715	CC1G_15716	HeadtoTail	Ccin_Chr_11	1230303	1231063	-	1231388	1231903	-	1.62	1.69	0.96
CC1G_02285	CC1G_02286	HeadtoTail	Ccin_Chr_3	3016340	3020087	-	3020783	3024840	-	NA	0.50	NA
CC1G_01605	CC1G_01606	HeadtoTail	Ccin_Chr_10	457028	458510	+	458924	459736	+	2.27	0.50	4.53
CC1G_03883	CC1G_03884	HeadtoTail	Ccin_Chr_2	2471937	2473031	-	2473428	2474564	-	2.22	0.61	3.65
CC1G_01510	CC1G_01511	HeadtoTail	Ccin_Chr_10	138348	139748	+	139998	140804	+	1.63	0.24	6.68
CC1G_01511	CC1G_01512	HeadtoTail	Ccin_Chr_10	139998	140804	+	141347	142141	+	1.23	0.25	4.90
CC1G_00713	CC1G_00714	HeadtoTail	Ccin_Chr_1	3682508	3684615	-	3685355	3687114	-	2.46	0.44	5.60
CC1G_14793	CC1G_04038	HeadtoTail	Ccin_Chr_7	759644	759926	+	761098	762536	+	NA	1.07	NA
CC1G_05456	CC1G_15735	HeadtoHead	Ccin_Chr_11	1589835	1590743	+	1590851	1591615	-	1.86	1.30	1.43
CC1G_10926	CC1G_10927	HeadtoTail	Ccin_Chr_4	1574969	1578445	-	1578716	1579320	-	NA	1.12	NA
CC1G_03504	CC1G_03505	TailtoTail	Ccin_Chr_9	1688132	1688719	-	1689460	1689876	+	1.81	0.43	4.26
CC1G_04640	CC1G_04641	HeadtoTail	Ccin_Chr_3	685464	687497	+	687841	689676	+	NA	0.38	NA
CC1G_05229	CC1G_05230	HeadtoHead	Ccin_Chr_11	786077	787009	+	787816	793578	-	NA	1.08	NA
CC1G_01196	CC1G_01197	HeadtoTail	Ccin_Chr_2	1175030	1177314	+	1177431	1178517	+	2.51	1.07	2.34
CC1G_07931	CC1G_07932	HeadtoTail	Ccin_Chr_5	3188369	3189076	-	3190253	3192092	-	NA	0.85	NA
CC1G_07327	CC1G_07328	HeadtoTail	Ccin_Chr_12	1664712	1666914	-	1667945	1668879	-	NA	0.87	NA
