model,Count,dS,dN,scaffold,start_position
CC1G_13565,14,1.8,0.68,Chr_1,249326
CC1G_02801,12,1.73,0.66,Chr_1,255147
CC1G_02802,11,1.88,0.68,Chr_1,259162
CC1G_02803,12,1.85,0.69,Chr_1,261678
CC1G_02804,11,1.76,0.69,Chr_1,263730
CC1G_02806,8,2.41,0.83,Chr_1,271967
CC1G_02810,5,2.13,0.51,Chr_1,284315
CC1G_02811,5,2.03,0.52,Chr_1,285485
CC1G_13567,6,2.02,0.66,Chr_1,294971
CC1G_13569,9,1.95,0.53,Chr_1,311093
CC1G_13570,9,1.9,0.67,Chr_1,312880
CC1G_02821,10,1.98,0.59,Chr_1,318938
CC1G_13571,9,1.88,0.62,Chr_1,321972
CC1G_02824,9,2.01,0.66,Chr_1,323635
CC1G_02825,9,2,0.65,Chr_1,325710
CC1G_02829,9,1.91,0.65,Chr_1,331172
CC1G_02831,9,1.88,0.59,Chr_1,333403
CC1G_02832,10,1.85,0.62,Chr_1,335295
CC1G_02835,9,1.91,0.62,Chr_1,341683
CC1G_02842,5,2.75,0.87,Chr_1,359709
CC1G_02843,4,2.43,0.84,Chr_1,360639
CC1G_02846,4,3.17,1.02,Chr_1,369367
CC1G_02847,4,3.17,1.24,Chr_1,372673
CC1G_02852,3,2.89,1.05,Chr_1,388916
CC1G_02857,2,2.92,1.11,Chr_1,402744
CC1G_02862,3,1.75,0.6,Chr_1,416998
CC1G_02867,3,2.39,0.92,Chr_1,428006
CC1G_02870,4,2.07,0.67,Chr_1,432470
CC1G_02874,3,2.15,0.77,Chr_1,447847
CC1G_02876,2,2.74,1.14,Chr_1,454728
CC1G_02882,5,1.9,0.74,Chr_1,479779
CC1G_02883,5,1.94,0.73,Chr_1,484380
CC1G_02884,5,2.24,0.94,Chr_1,490248
CC1G_02886,7,1.66,0.68,Chr_1,493166
CC1G_02887,7,1.58,0.66,Chr_1,494543
CC1G_02888,7,1.53,0.72,Chr_1,498545
CC1G_12155,5,1.81,0.62,Chr_1,516614
CC1G_12156,5,2.03,0.75,Chr_1,517549
CC1G_12158,3,1.16,0.65,Chr_1,523946
CC1G_12164,2,1.96,0.84,Chr_1,544626
CC1G_12058,3,2.1,0.71,Chr_1,558907
CC1G_12067,6,2.28,0.9,Chr_1,575059
CC1G_12069,7,2.56,0.84,Chr_1,577627
CC1G_12073,7,2.53,0.79,Chr_1,586277
CC1G_12078,7,2.53,0.77,Chr_1,596130
CC1G_12079,7,2.39,0.76,Chr_1,598101
CC1G_12080,7,2.5,0.74,Chr_1,599536
CC1G_12081,6,2.31,0.88,Chr_1,602185
CC1G_12082,5,2.55,0.87,Chr_1,604289
CC1G_13585,5,0.75,0.3,Chr_1,698729
CC1G_13586,6,1.01,0.44,Chr_1,703321
CC1G_13588,6,1.01,0.45,Chr_1,706969
CC1G_13589,7,1.25,0.44,Chr_1,707528
CC1G_04351,7,1.09,0.4,Chr_1,711029
CC1G_04354,7,0.98,0.32,Chr_1,717103
CC1G_04356,6,1.09,0.33,Chr_1,727349
CC1G_04358,5,1.38,0.59,Chr_1,732438
CC1G_04368,4,2.55,0.86,Chr_1,756227
CC1G_04370,4,2.21,0.75,Chr_1,763511
CC1G_13592,5,2.86,0.77,Chr_1,768285
CC1G_13597,6,2.75,0.86,Chr_1,780275
CC1G_04376,5,2.75,1.02,Chr_1,784546
CC1G_04379,4,2.51,0.92,Chr_1,790946
CC1G_04381,3,3.25,0.82,Chr_1,799326
CC1G_04392,1,0.44,0.02,Chr_1,827220
CC1G_04396,1,3.18,0.73,Chr_1,836452
CC1G_04405,1,1.97,1.18,Chr_1,870196
CC1G_04406,1,1.74,0.93,Chr_1,872893
CC1G_04442,1,3.61,0.36,Chr_1,959734
CC1G_08624,4,1.92,0.7,Chr_1,981135
CC1G_08626,4,2.65,0.52,Chr_1,987023
CC1G_13610,4,2.62,0.53,Chr_1,992165
CC1G_08628,4,2.25,0.55,Chr_1,993296
CC1G_08634,3,1.89,0.46,Chr_1,1011233
CC1G_08643,1,2.63,0.59,Chr_1,1055285
CC1G_08645,2,1.91,0.71,Chr_1,1063041
CC1G_08649,1,2.63,0.59,Chr_1,1081742
CC1G_13195,3,2.1,0.68,Chr_1,1124491
CC1G_13434,4,1.46,0.42,Chr_1,1128518
CC1G_13219,4,1.49,0.54,Chr_1,1131372
CC1G_13220,4,1.36,0.42,Chr_1,1135713
CC1G_13615,3,2.1,0.68,Chr_1,1152139
CC1G_13618,1,2.02,0.44,Chr_1,1254756
CC1G_11225,4,2.84,0.7,Chr_1,1269690
CC1G_11229,4,2.52,0.6,Chr_1,1283022
CC1G_11230,5,2.67,0.72,Chr_1,1289881
CC1G_11231,5,2.35,0.74,Chr_1,1292185
CC1G_13622,4,2.81,0.53,Chr_1,1306743
CC1G_13623,3,2.69,0.66,Chr_1,1309767
CC1G_13627,2,2.2,1.31,Chr_1,1366252
CC1G_10286,4,2.76,0.98,Chr_1,1387995
CC1G_10287,5,2.86,0.99,Chr_1,1390594
CC1G_10291,4,2.46,1.28,Chr_1,1402167
CC1G_10292,4,2.27,1.16,Chr_1,1403975
CC1G_10295,3,1.88,1,Chr_1,1414750
CC1G_10524,1,1.48,0.64,Chr_1,1485891
CC1G_10525,1,2.61,1.46,Chr_1,1488985
CC1G_12662,1,2.18,0.36,Chr_1,1555784
CC1G_13441,1,2.49,0.93,Chr_1,1575092
CC1G_11298,1,2.3,0.57,Chr_1,1601169
CC1G_11300,1,2.53,1.36,Chr_1,1606256
CC1G_11310,1,2.32,0.9,Chr_1,1645321
CC1G_06717,3,2.3,1.11,Chr_1,1663898
CC1G_13643,2,2.12,0.8,Chr_1,1676037
CC1G_06722,2,2.74,1.16,Chr_1,1679302
CC1G_06743,3,2.19,0.86,Chr_1,1725443
CC1G_06744,3,2.74,0.94,Chr_1,1728054
CC1G_06748,3,2.28,1.08,Chr_1,1735308
CC1G_06755,3,2.39,0.83,Chr_1,1747269
CC1G_13656,2,2.58,0.74,Chr_1,1775692
CC1G_06771,2,2.88,0.84,Chr_1,1780448
CC1G_06779,3,3.06,0.89,Chr_1,1792941
CC1G_06787,2,2.59,0.82,Chr_1,1813572
CC1G_06790,1,4.14,0.76,Chr_1,1824971
CC1G_06808,4,2.49,0.92,Chr_1,1864836
CC1G_06811,4,2.41,0.94,Chr_1,1870088
CC1G_06812,5,2.4,0.88,Chr_1,1871756
CC1G_03621,5,2.61,0.89,Chr_1,1875181
CC1G_03628,7,2.38,0.81,Chr_1,1888027
CC1G_03631,5,2.36,0.9,Chr_1,1896712
CC1G_03632,4,2.65,1.06,Chr_1,1902620
CC1G_03633,4,2.82,0.93,Chr_1,1904669
CC1G_03641,4,1.95,0.65,Chr_1,1924213
CC1G_03651,4,2.37,1,Chr_1,1941902
CC1G_03653,4,2.26,1.08,Chr_1,1945651
CC1G_03658,4,2.4,0.82,Chr_1,1960527
CC1G_03659,4,2.31,0.98,Chr_1,1962378
CC1G_03668,2,2.12,1.23,Chr_1,1978188
CC1G_03675,2,3.04,0.59,Chr_1,2004007
CC1G_03676,2,3.84,0.8,Chr_1,2005586
CC1G_03682,2,1.78,0.58,Chr_1,2013532
CC1G_03701,2,1.86,0.43,Chr_1,2056034
CC1G_13670,3,1.85,0.55,Chr_1,2061378
CC1G_03707,3,1.84,0.55,Chr_1,2077196
CC1G_03710,3,1.72,0.42,Chr_1,2081675
CC1G_03720,2,1.96,0.96,Chr_1,2103547
CC1G_03722,1,1.42,0.39,Chr_1,2107123
CC1G_03741,3,2.79,0.99,Chr_1,2157167
CC1G_03744,3,2.83,1.02,Chr_1,2162569
CC1G_03748,3,2.59,1.13,Chr_1,2169466
CC1G_03753,3,2.44,1.25,Chr_1,2177950
CC1G_03767,2,2.76,0.86,Chr_1,2210148
CC1G_03774,3,2.67,1.02,Chr_1,2232196
CC1G_13679,3,2.77,1.01,Chr_1,2234840
CC1G_01666,3,2.14,0.64,Chr_1,2243633
CC1G_01672,4,2.74,0.84,Chr_1,2260674
CC1G_01683,4,2.17,0.66,Chr_1,2279782
CC1G_01684,4,2.43,0.73,Chr_1,2283188
CC1G_13681,4,2.24,0.73,Chr_1,2285004
CC1G_01688,3,2.77,0.73,Chr_1,2290621
CC1G_13687,2,3.52,1.06,Chr_1,2320123
CC1G_01699,3,2.65,1.35,Chr_1,2324649
CC1G_01700,3,2.46,1.24,Chr_1,2327527
CC1G_13689,4,3.1,1.06,Chr_1,2347331
CC1G_13691,4,2.6,1.13,Chr_1,2354397
CC1G_01711,4,2.5,0.97,Chr_1,2359653
CC1G_01718,3,2.99,1,Chr_1,2373970
CC1G_01719,3,2.4,0.99,Chr_1,2376663
CC1G_01738,1,2.79,0.7,Chr_1,2422708
CC1G_01742,1,1.67,0.8,Chr_1,2434479
CC1G_01754,1,2.99,1.53,Chr_1,2467039
CC1G_01760,2,3.11,0.88,Chr_1,2482053
CC1G_01763,1,2.99,1.53,Chr_1,2493812
CC1G_01832,1,2,1.03,Chr_1,2660048
CC1G_01840,2,1.93,0.82,Chr_1,2678200
CC1G_01847,1,2,1.03,Chr_1,2696404
CC1G_01869,1,2.03,1.02,Chr_1,2743224
CC1G_01876,2,2.36,1.18,Chr_1,2758172
CC1G_06538,1,2.03,1.02,Chr_1,2770102
CC1G_13717,1,2.97,1.5,Chr_1,2811301
CC1G_13719,2,2.5,0.82,Chr_1,2821930
CC1G_06564,1,2.97,1.5,Chr_1,2839064
CC1G_06579,1,2.95,0.25,Chr_1,2872987
CC1G_06586,2,2.71,1.15,Chr_1,2890366
CC1G_13722,2,2.37,0.5,Chr_1,2910809
CC1G_06603,2,2.58,0.97,Chr_1,2922649
CC1G_06609,1,1.78,0.75,Chr_1,2937351
CC1G_06620,2,2.79,0.55,Chr_1,2967532
CC1G_06627,2,1.86,0.56,Chr_1,2988948
CC1G_06628,2,2.76,0.48,Chr_1,2991280
CC1G_00488,1,4.42,0.68,Chr_1,3050213
CC1G_00495,2,3.95,0.74,Chr_1,3072962
CC1G_00499,1,4.42,0.68,Chr_1,3082733
CC1G_00510,2,2.37,0.88,Chr_1,3111043
CC1G_00516,4,2.73,0.87,Chr_1,3123296
CC1G_00520,5,2.62,0.89,Chr_1,3131968
CC1G_00526,4,2.52,0.97,Chr_1,3145232
CC1G_00527,4,2.14,0.98,Chr_1,3147852
CC1G_00528,3,2.32,0.93,Chr_1,3150022
CC1G_00552,2,3.06,0.64,Chr_1,3215220
CC1G_13743,3,2.43,0.63,Chr_1,3232038
CC1G_00558,3,2.19,0.66,Chr_1,3236281
CC1G_00562,2,3.06,0.64,Chr_1,3244938
CC1G_00576,2,1.97,0.98,Chr_1,3281699
CC1G_00577,2,1.81,0.83,Chr_1,3283985
CC1G_00580,2,2,0.86,Chr_1,3292153
CC1G_13748,2,2.33,1.06,Chr_1,3328656
CC1G_00594,3,1.63,0.89,Chr_1,3332466
CC1G_00595,5,2.01,0.79,Chr_1,3335123
CC1G_00602,5,2.4,0.9,Chr_1,3354817
CC1G_00605,4,2.22,1.01,Chr_1,3359044
CC1G_00606,4,2.3,1.07,Chr_1,3360026
CC1G_13750,3,2.37,0.97,Chr_1,3367754
CC1G_00628,4,2.45,1.11,Chr_1,3420849
CC1G_00630,5,2.34,0.92,Chr_1,3426144
CC1G_00632,7,2.25,0.83,Chr_1,3436811
CC1G_13754,9,2.15,0.76,Chr_1,3444095
CC1G_00636,9,2.14,0.79,Chr_1,3445276
CC1G_00640,10,2.46,0.84,Chr_1,3450886
CC1G_00642,9,2.51,0.83,Chr_1,3455163
CC1G_13756,11,2.63,0.89,Chr_1,3461380
CC1G_00647,10,2.62,0.87,Chr_1,3464711
CC1G_00648,10,2.61,0.81,Chr_1,3466871
CC1G_13758,8,2.66,0.76,Chr_1,3472287
CC1G_13759,8,2.19,0.73,Chr_1,3473675
CC1G_00652,6,2.53,0.77,Chr_1,3481551
CC1G_00654,6,2.59,0.7,Chr_1,3485284
CC1G_00678,2,3.02,1.18,Chr_1,3557634
CC1G_00679,3,2.68,0.92,Chr_1,3560190
CC1G_13764,6,2.2,0.67,Chr_1,3581795
CC1G_00686,5,2.27,0.8,Chr_1,3584850
CC1G_00687,4,2.41,0.57,Chr_1,3587694
CC1G_00690,5,2.75,0.79,Chr_1,3591684
CC1G_00696,5,2.8,0.81,Chr_1,3601183
CC1G_00698,2,1.78,0.25,Chr_1,3616185
CC1G_00706,1,1.75,0.42,Chr_1,3650654
CC1G_00711,3,2.72,0.92,Chr_1,3672774
CC1G_00714,6,2.25,0.86,Chr_1,3685358
CC1G_00715,6,2.04,0.74,Chr_1,3688342
CC1G_00718,5,2.36,0.88,Chr_1,3699472
CC1G_00719,5,2.13,0.74,Chr_1,3700403
CC1G_00720,5,2.09,0.87,Chr_1,3701493
CC1G_13770,5,2.26,0.84,Chr_1,3707057
CC1G_13777,1,2.71,0.98,Chr_1,3742937
CC1G_13778,1,1.83,0.72,Chr_1,3744163
CC1G_00739,2,2.63,1.28,Chr_1,3770018
CC1G_13782,3,2.08,1.18,Chr_1,3778893
CC1G_13783,3,1.86,0.95,Chr_1,3780123
CC1G_10101,6,1.87,0.85,Chr_1,3803712
CC1G_10105,5,1.61,0.62,Chr_1,3810492
CC1G_10109,8,1.5,0.63,Chr_1,3820187
CC1G_10110,8,1.63,0.66,Chr_1,3823208
CC1G_10111,8,1.53,0.6,Chr_1,3824187
CC1G_10113,9,1.56,0.61,Chr_1,3832075
CC1G_10114,9,1.72,0.6,Chr_1,3835510
CC1G_10115,9,1.89,0.64,Chr_1,3838130
CC1G_10116,9,1.65,0.55,Chr_1,3839951
CC1G_10119,8,1.79,0.68,Chr_1,3850242
CC1G_10121,9,1.97,0.7,Chr_1,3856222
CC1G_10122,8,1.79,0.71,Chr_1,3857364
CC1G_10124,6,2.19,0.77,Chr_1,3865047
CC1G_10128,11,1.64,0.51,Chr_1,3873894
CC1G_10129,11,1.47,0.5,Chr_1,3875925
CC1G_10133,10,1.4,0.48,Chr_1,3882717
CC1G_10138,9,1.27,0.44,Chr_1,3890309
CC1G_13016,9,1.58,0.5,Chr_1,3892296
CC1G_13017,9,1.58,0.5,Chr_1,3894113
CC1G_13018,9,1.58,0.5,Chr_1,3895142
CC1G_13019,9,1.33,0.45,Chr_1,3896255
CC1G_13020,8,1.41,0.4,Chr_1,3899788
CC1G_13021,7,1.16,0.28,Chr_1,3901172
CC1G_08780,3,1.98,0.92,Chr_1,3944257
CC1G_08785,5,1.51,0.62,Chr_1,3955299
CC1G_08786,5,1.72,0.71,Chr_1,3957492
CC1G_08787,5,1.37,0.52,Chr_1,3959461
CC1G_13796,7,1.46,0.62,Chr_1,3972899
CC1G_13797,8,1.41,0.55,Chr_1,3977147
CC1G_08793,7,1.32,0.45,Chr_1,3987453
CC1G_08795,7,1.54,0.52,Chr_1,3992542
CC1G_08796,7,1.54,0.52,Chr_1,3995004
CC1G_08799,6,1.54,0.57,Chr_1,4000774
CC1G_08801,5,1.21,0.43,Chr_1,4005052
CC1G_08803,7,1.37,0.43,Chr_1,4009395
CC1G_13801,9,1.58,0.54,Chr_1,4031585
CC1G_13802,9,1.45,0.48,Chr_1,4032919
CC1G_08812,9,1.68,0.54,Chr_1,4034681
CC1G_08813,9,1.61,0.53,Chr_1,4037001
CC1G_08814,9,1.63,0.52,Chr_1,4038376
CC1G_08815,9,1.37,0.49,Chr_1,4040042
CC1G_08819,9,1.43,0.45,Chr_1,4048081
CC1G_08820,10,1.49,0.48,Chr_1,4051975
CC1G_08822,11,1.42,0.51,Chr_1,4056130
CC1G_08823,10,1.71,0.58,Chr_1,4058694
CC1G_11410,8,2.56,0.91,Chr_1,4075733
CC1G_13806,8,2.57,0.84,Chr_1,4079577
CC1G_11413,8,2.26,0.84,Chr_1,4081594
CC1G_11414,7,2.21,0.87,Chr_1,4084209
CC1G_11417,9,1.93,0.69,Chr_1,4090173
CC1G_11419,11,2.02,0.75,Chr_1,4096308
CC1G_11421,11,2.16,0.78,Chr_1,4101648
CC1G_11422,11,2.51,0.71,Chr_1,4104775
CC1G_11424,9,2.35,0.7,Chr_1,4111281
CC1G_11425,9,2.35,0.7,Chr_1,4113428
CC1G_11426,9,2.05,0.54,Chr_1,4115353
CC1G_13809,9,1.98,0.57,Chr_1,4119961
CC1G_13811,8,1.9,0.56,Chr_1,4125333
CC1G_11430,7,1.52,0.55,Chr_1,4127988
CC1G_13332,4,2.92,0.62,Chr_1,4140258
CC1G_13093,3,0.92,0.31,Chr_10,308
CC1G_13094,3,0.48,0.17,Chr_10,8965
CC1G_13198,3,0.99,0.34,Chr_10,18191
CC1G_13199,3,0.74,0.27,Chr_10,19520
CC1G_12175,3,0.08,0.04,Chr_10,48559
CC1G_12179,5,0.42,0.13,Chr_10,56879
CC1G_12181,6,0.66,0.18,Chr_10,62794
CC1G_12182,8,1.04,0.34,Chr_10,64985
CC1G_01479,9,1.2,0.43,Chr_10,75008
CC1G_01480,9,1.28,0.46,Chr_10,76323
CC1G_01482,8,1.28,0.47,Chr_10,82916
CC1G_01484,8,1.46,0.57,Chr_10,87847
CC1G_01485,8,1.38,0.47,Chr_10,89769
CC1G_01486,8,1.71,0.58,Chr_10,93607
CC1G_15236,8,1.65,0.54,Chr_10,95891
CC1G_01498,10,1.69,0.63,Chr_10,110192
CC1G_01501,10,1.51,0.58,Chr_10,116143
CC1G_01503,10,1.33,0.44,Chr_10,121876
CC1G_01504,10,1.4,0.47,Chr_10,125179
CC1G_01505,11,1.4,0.45,Chr_10,128985
CC1G_01507,11,1.45,0.45,Chr_10,132357
CC1G_01508,11,1.21,0.36,Chr_10,133936
CC1G_01510,10,1.3,0.41,Chr_10,138348
CC1G_01511,10,1.35,0.42,Chr_10,139998
CC1G_01512,9,1.32,0.42,Chr_10,141347
CC1G_01513,10,1.22,0.41,Chr_10,142841
CC1G_01517,10,1.55,0.48,Chr_10,153301
CC1G_01521,4,2.16,0.53,Chr_10,166753
CC1G_01522,3,1.4,0.44,Chr_10,169866
CC1G_01527,4,1.96,0.57,Chr_10,177581
CC1G_01534,5,1.98,0.63,Chr_10,201483
CC1G_15244,5,2.28,0.72,Chr_10,205970
CC1G_15245,6,2.18,0.65,Chr_10,207485
CC1G_01536,6,2.05,0.47,Chr_10,210957
CC1G_01541,7,2.26,0.57,Chr_10,223740
CC1G_01542,8,2.14,0.61,Chr_10,228738
CC1G_01543,7,2.46,0.68,Chr_10,231876
CC1G_01546,6,2.15,0.57,Chr_10,240069
CC1G_01548,7,2.33,0.58,Chr_10,249916
CC1G_01549,7,2.18,0.45,Chr_10,252785
CC1G_01551,5,2.43,0.7,Chr_10,259166
CC1G_01553,5,1.82,0.64,Chr_10,267763
CC1G_01554,5,2.12,0.83,Chr_10,271210
CC1G_15252,6,1.89,0.6,Chr_10,289969
CC1G_01563,5,1.6,0.62,Chr_10,302849
CC1G_01564,5,1.7,0.51,Chr_10,306579
CC1G_01565,5,2.15,0.71,Chr_10,308644
CC1G_01566,5,1.71,0.54,Chr_10,312546
CC1G_01568,4,1.83,0.61,Chr_10,320550
CC1G_01574,6,2.14,0.56,Chr_10,352483
CC1G_15258,6,2.15,0.59,Chr_10,358172
CC1G_15259,6,2.21,0.71,Chr_10,361105
CC1G_01578,7,2.12,0.65,Chr_10,365410
CC1G_01579,7,2.07,0.56,Chr_10,366647
CC1G_01581,7,2.17,0.62,Chr_10,369214
CC1G_01582,7,2.09,0.64,Chr_10,371524
CC1G_01588,6,2.19,0.64,Chr_10,389007
CC1G_15263,3,1.66,0.44,Chr_10,402569
CC1G_01594,4,2.11,0.6,Chr_10,410884
CC1G_01595,3,2.71,0.94,Chr_10,418637
CC1G_01598,5,1.68,0.53,Chr_10,435639
CC1G_15267,4,2.26,0.72,Chr_10,448195
CC1G_01605,4,2.24,0.66,Chr_10,457028
CC1G_01606,4,2.38,0.57,Chr_10,458924
CC1G_01607,3,1.8,0.54,Chr_10,460706
CC1G_01618,1,3.46,0.39,Chr_10,501858
CC1G_01621,1,3.25,0.31,Chr_10,509789
CC1G_01642,5,1.84,0.99,Chr_10,566066
CC1G_01645,5,2.17,1.08,Chr_10,572209
CC1G_01647,5,2.17,0.89,Chr_10,575439
CC1G_01648,6,2.2,0.99,Chr_10,577587
CC1G_01652,8,2.19,0.97,Chr_10,585322
CC1G_01653,9,1.94,0.87,Chr_10,586914
CC1G_01658,6,1.75,0.91,Chr_10,601899
CC1G_01659,5,1.82,0.83,Chr_10,605596
CC1G_01661,5,1.65,0.89,Chr_10,607720
CC1G_15272,4,2.22,1.04,Chr_10,611518
CC1G_15274,5,2.51,1.06,Chr_10,640748
CC1G_09410,5,2.96,1.08,Chr_10,646887
CC1G_09412,6,2.56,0.92,Chr_10,651513
CC1G_09413,7,2.77,0.87,Chr_10,654086
CC1G_09415,7,2.62,0.8,Chr_10,658189
CC1G_15275,7,2.91,0.96,Chr_10,665234
CC1G_09419,5,2.54,0.97,Chr_10,672995
CC1G_09420,4,2.12,0.89,Chr_10,678634
CC1G_15278,1,2.71,1.36,Chr_10,717602
CC1G_15280,1,1.85,0.73,Chr_10,723626
CC1G_11017,3,3.13,0.63,Chr_10,793011
CC1G_11020,3,3.18,0.82,Chr_10,799309
CC1G_11022,3,2.99,0.69,Chr_10,804050
CC1G_11027,3,2.39,0.66,Chr_10,816401
CC1G_11048,3,1.4,0.56,Chr_10,871102
CC1G_08714,4,1.98,0.93,Chr_10,880088
CC1G_08715,4,2.01,0.88,Chr_10,881491
CC1G_08717,4,1.78,0.73,Chr_10,891863
CC1G_08719,4,1.56,0.63,Chr_10,899219
CC1G_08727,3,2.44,0.92,Chr_10,920024
CC1G_08730,3,2.5,0.66,Chr_10,930394
CC1G_08736,3,2.66,0.75,Chr_10,940647
CC1G_08741,2,2.08,0.7,Chr_10,954433
CC1G_08756,1,3.07,0.3,Chr_10,988416
CC1G_08761,1,2.17,1.24,Chr_10,1001859
CC1G_08771,2,3.42,0.74,Chr_10,1027864
CC1G_15296,2,3.24,0.56,Chr_10,1028402
CC1G_09101,3,2.59,0.76,Chr_10,1040302
CC1G_09108,1,3.44,0.62,Chr_10,1064746
CC1G_09114,3,1.41,0.52,Chr_10,1097318
CC1G_09115,3,2.01,0.79,Chr_10,1108636
CC1G_09117,3,1.81,0.85,Chr_10,1114527
CC1G_15303,3,1.81,0.57,Chr_10,1115763
CC1G_09126,4,1.25,0.36,Chr_10,1143943
CC1G_09127,4,0.64,0.34,Chr_10,1150150
CC1G_09130,4,1.78,0.62,Chr_10,1158478
CC1G_09131,4,1.8,0.64,Chr_10,1158830
CC1G_15305,4,1.78,0.64,Chr_10,1160725
CC1G_09691,1,1.6,0.78,Chr_10,1197836
CC1G_09697,2,2.27,0.7,Chr_10,1214050
CC1G_09707,2,2.26,1.2,Chr_10,1238320
CC1G_09708,1,2.42,0.47,Chr_10,1240874
CC1G_09720,2,2.18,0.86,Chr_10,1277810
CC1G_09728,4,2.14,0.59,Chr_10,1299489
CC1G_09729,4,2.22,0.5,Chr_10,1301814
CC1G_15313,3,2.23,0.72,Chr_10,1317255
CC1G_12835,3,2.2,0.75,Chr_10,1319798
CC1G_11876,3,2.02,0.92,Chr_10,1365822
CC1G_11877,3,1.8,0.99,Chr_10,1368498
CC1G_15318,5,1.65,0.79,Chr_10,1378461
CC1G_12342,6,1.72,0.8,Chr_10,1384153
CC1G_12348,5,2.14,0.72,Chr_10,1397332
CC1G_12349,5,1.93,0.63,Chr_10,1399880
CC1G_15320,5,1.95,0.61,Chr_10,1403752
CC1G_12351,5,1.89,0.68,Chr_10,1412181
CC1G_11192,4,2.3,0.72,Chr_10,1427809
CC1G_11194,3,2.49,0.75,Chr_10,1434827
CC1G_11198,4,2.59,0.85,Chr_10,1448113
CC1G_11203,2,2.6,0.86,Chr_10,1461708
CC1G_15324,4,2.15,0.84,Chr_10,1470723
CC1G_11210,2,1.58,0.36,Chr_10,1493883
CC1G_11211,2,2.94,0.9,Chr_10,1495665
CC1G_11718,5,1.46,0.45,Chr_10,1524328
CC1G_11719,6,1.67,0.52,Chr_10,1526854
CC1G_11721,6,1.44,0.47,Chr_10,1529623
CC1G_11722,7,1.77,0.56,Chr_10,1531889
CC1G_11723,8,2.05,0.63,Chr_10,1534970
CC1G_11725,10,1.92,0.53,Chr_10,1543272
CC1G_11727,11,1.85,0.6,Chr_10,1551175
CC1G_11730,9,1.86,0.62,Chr_10,1555887
CC1G_11732,8,1.86,0.68,Chr_10,1559848
CC1G_11734,7,2.03,0.79,Chr_10,1562046
CC1G_13394,8,2.39,0.71,Chr_10,1564413
CC1G_02064,8,2.3,0.64,Chr_10,1569581
CC1G_02065,8,2.13,0.58,Chr_10,1570657
CC1G_02071,7,2,0.69,Chr_10,1588177
CC1G_02073,6,2.4,0.69,Chr_10,1594466
CC1G_02077,5,2.34,0.73,Chr_10,1602693
CC1G_02079,5,2.17,0.76,Chr_10,1605022
CC1G_15328,6,2.22,0.64,Chr_10,1609714
CC1G_02087,8,2.1,0.73,Chr_10,1620864
CC1G_02093,8,2.01,0.92,Chr_10,1633064
CC1G_02097,7,1.93,0.9,Chr_10,1640083
CC1G_02098,7,2.03,0.93,Chr_10,1641658
CC1G_02099,8,1.82,0.83,Chr_10,1643137
CC1G_02100,9,1.76,0.77,Chr_10,1645489
CC1G_02101,10,1.86,0.7,Chr_10,1649435
CC1G_15332,14,1.98,0.69,Chr_10,1655359
CC1G_02107,14,2.29,0.83,Chr_10,1667923
