model1	model2	ds	dn	dsdn
Ccin:CC1G_05410T0	Ccin:CC1G_07678T0	NA	0.77	NA
Ccin:CC1G_11006T0	Ccin:CC1G_03722T0	4.29	0.78	5.52
Ccin:CC1G_15647T0	Ccin:CC1G_06090T0	1.72	1.29	1.33
Ccin:CC1G_03722T0	Ccin:CC1G_06090T0	1.95	1.27	1.53
Ccin:CC1G_11006T0	Ccin:CC1G_01993T0	NA	1.42	NA
Ccin:CC1G_03722T0	Ccin:CC1G_01993T0	NA	1.12	NA
Ccin:CC1G_12291T0	Ccin:CC1G_07338T0	2.63	0.67	3.90
Ccin:CC1G_12291T0	Ccin:CC1G_10178T0	NA	0.36	NA
Ccin:CC1G_07338T0	Ccin:CC1G_10178T0	2.91	0.70	4.14
Ccin:CC1G_12291T0	Ccin:CC1G_02009T0	2.48	0.89	2.80
Ccin:CC1G_07338T0	Ccin:CC1G_02009T0	2.83	0.80	3.53
Ccin:CC1G_02857T0	Ccin:CC1G_01648T0	3.12	0.47	6.62
Ccin:CC1G_02857T0	Ccin:CC1G_09078T0	1.67	0.94	1.77
Ccin:CC1G_01648T0	Ccin:CC1G_09078T0	3.21	0.78	4.09
Ccin:CC1G_02857T0	Ccin:CC1G_05246T0	NA	0.84	NA
Ccin:CC1G_01648T0	Ccin:CC1G_05246T0	3.11	0.79	3.93
Ccin:CC1G_02857T0	Ccin:CC1G_01522T0	1.58	1.30	1.22
Ccin:CC1G_09078T0	Ccin:CC1G_01522T0	1.83	0.79	2.32
Ccin:CC1G_01648T0	Ccin:CC1G_10603T0	3.39	0.56	6.07
Ccin:CC1G_05246T0	Ccin:CC1G_10603T0	NA	0.69	NA
Ccin:CC1G_02857T0	Ccin:CC1G_08598T0	NA	0.37	NA
Ccin:CC1G_09078T0	Ccin:CC1G_08598T0	3.69	0.75	4.91
Ccin:CC1G_01522T0	Ccin:CC1G_08598T0	NA	0.56	NA
Ccin:CC1G_02857T0	Ccin:CC1G_02597T0	NA	1.12	NA
Ccin:CC1G_10603T0	Ccin:CC1G_02597T0	2.21	0.95	2.32
Ccin:CC1G_08598T0	Ccin:CC1G_02597T0	2.24	0.78	2.85
Ccin:CC1G_07265T0	Ccin:CC1G_07231T0	2.83	1.01	2.81
Ccin:CC1G_07236T0	Ccin:CC1G_07231T0	1.54	0.69	2.25
Ccin:CC1G_07236T0	Ccin:CC1G_07258T0	1.20	0.76	1.58
Ccin:CC1G_07231T0	Ccin:CC1G_07258T0	NA	0.71	NA
Ccin:CC1G_07265T0	Ccin:CC1G_07260T0	NA	0.86	NA
Ccin:CC1G_07236T0	Ccin:CC1G_07260T0	1.56	0.50	3.09
Ccin:CC1G_07258T0	Ccin:CC1G_07260T0	1.73	0.66	2.63
Ccin:CC1G_07265T0	Ccin:CC1G_07238T0	0.34	0.21	1.59
Ccin:CC1G_07231T0	Ccin:CC1G_07238T0	1.89	0.96	1.98
Ccin:CC1G_07258T0	Ccin:CC1G_07238T0	1.88	0.92	2.05
Ccin:CC1G_07260T0	Ccin:CC1G_07238T0	NA	0.97	NA
Ccin:CC1G_07260T0	Ccin:CC1G_07243T0	NA	0.73	NA
Ccin:CC1G_07265T0	Ccin:CC1G_01526T0	NA	0.62	NA
Ccin:CC1G_07231T0	Ccin:CC1G_01526T0	NA	0.87	NA
Ccin:CC1G_07258T0	Ccin:CC1G_01526T0	3.21	0.66	4.89
Ccin:CC1G_07260T0	Ccin:CC1G_01526T0	NA	0.77	NA
Ccin:CC1G_07238T0	Ccin:CC1G_01526T0	NA	0.66	NA
Ccin:CC1G_07243T0	Ccin:CC1G_01526T0	4.19	0.46	9.13
Ccin:CC1G_07265T0	Ccin:CC1G_13199T0	NA	0.41	NA
Ccin:CC1G_07236T0	Ccin:CC1G_13199T0	2.11	0.88	2.41
Ccin:CC1G_07258T0	Ccin:CC1G_13199T0	NA	0.63	NA
Ccin:CC1G_07260T0	Ccin:CC1G_13199T0	NA	0.80	NA
Ccin:CC1G_07238T0	Ccin:CC1G_13199T0	NA	0.60	NA
Ccin:CC1G_07243T0	Ccin:CC1G_13199T0	2.75	0.66	4.19
Ccin:CC1G_01526T0	Ccin:CC1G_13199T0	NA	0.62	NA
Ccin:CC1G_07265T0	Ccin:CC1G_07272T0	NA	0.44	NA
Ccin:CC1G_07258T0	Ccin:CC1G_07272T0	3.32	0.59	5.62
Ccin:CC1G_07243T0	Ccin:CC1G_07272T0	NA	0.65	NA
Ccin:CC1G_07236T0	Ccin:CC1G_04950T0	3.12	0.90	3.45
Ccin:CC1G_07231T0	Ccin:CC1G_04950T0	2.17	0.89	2.43
Ccin:CC1G_07238T0	Ccin:CC1G_04950T0	NA	0.68	NA
Ccin:CC1G_01526T0	Ccin:CC1G_04950T0	NA	0.60	NA
Ccin:CC1G_07272T0	Ccin:CC1G_04950T0	2.14	0.52	4.11
Ccin:CC1G_07236T0	Ccin:CC1G_01645T0	1.90	0.91	2.09
Ccin:CC1G_07258T0	Ccin:CC1G_01645T0	1.53	0.49	3.11
Ccin:CC1G_07260T0	Ccin:CC1G_01645T0	NA	0.85	NA
Ccin:CC1G_07238T0	Ccin:CC1G_01645T0	NA	0.59	NA
Ccin:CC1G_07243T0	Ccin:CC1G_01645T0	2.15	0.61	3.55
Ccin:CC1G_01526T0	Ccin:CC1G_01645T0	NA	0.52	NA
Ccin:CC1G_13199T0	Ccin:CC1G_01645T0	0.90	0.27	3.32
Ccin:CC1G_04950T0	Ccin:CC1G_01645T0	1.10	0.40	2.72
Ccin:CC1G_07236T0	Ccin:CC1G_07269T0	NA	0.89	NA
Ccin:CC1G_07231T0	Ccin:CC1G_07269T0	NA	0.76	NA
Ccin:CC1G_07258T0	Ccin:CC1G_07269T0	1.35	0.47	2.88
Ccin:CC1G_07260T0	Ccin:CC1G_07269T0	NA	0.72	NA
Ccin:CC1G_07238T0	Ccin:CC1G_07269T0	0.89	0.42	2.12
Ccin:CC1G_07243T0	Ccin:CC1G_07269T0	NA	0.62	NA
Ccin:CC1G_01526T0	Ccin:CC1G_07269T0	NA	0.64	NA
Ccin:CC1G_13199T0	Ccin:CC1G_07269T0	NA	0.61	NA
Ccin:CC1G_07272T0	Ccin:CC1G_07269T0	NA	0.68	NA
Ccin:CC1G_04950T0	Ccin:CC1G_07269T0	NA	0.60	NA
Ccin:CC1G_01645T0	Ccin:CC1G_07269T0	3.59	0.54	6.64
Ccin:CC1G_07231T0	Ccin:CC1G_07267T0	2.94	0.82	3.60
Ccin:CC1G_07238T0	Ccin:CC1G_07267T0	2.41	0.83	2.91
Ccin:CC1G_07243T0	Ccin:CC1G_07267T0	NA	0.55	NA
Ccin:CC1G_13199T0	Ccin:CC1G_07267T0	NA	0.60	NA
Ccin:CC1G_07272T0	Ccin:CC1G_07267T0	NA	0.57	NA
Ccin:CC1G_01645T0	Ccin:CC1G_07267T0	1.85	0.56	3.29
Ccin:CC1G_01642T0	Ccin:CC1G_07559T0	NA	0.92	NA
Ccin:CC1G_01642T0	Ccin:CC1G_10145T0	NA	0.94	NA
Ccin:CC1G_01642T0	Ccin:CC1G_06024T0	3.50	1.00	3.49
Ccin:CC1G_07559T0	Ccin:CC1G_06024T0	2.06	0.29	7.00
Ccin:CC1G_01642T0	Ccin:CC1G_12099T0	NA	1.74	NA
Ccin:CC1G_07559T0	Ccin:CC1G_12099T0	2.40	0.71	3.40
Ccin:CC1G_06024T0	Ccin:CC1G_12099T0	NA	0.78	NA
Ccin:CC1G_01642T0	Ccin:CC1G_15176T0	NA	1.52	NA
Ccin:CC1G_07559T0	Ccin:CC1G_15176T0	2.50	1.21	2.07
Ccin:CC1G_10145T0	Ccin:CC1G_15176T0	NA	1.28	NA
Ccin:CC1G_06024T0	Ccin:CC1G_15176T0	NA	1.21	NA
Ccin:CC1G_11310T0	Ccin:CC1G_04734T0	1.82	1.30	1.40
Ccin:CC1G_11310T0	Ccin:CC1G_14260T0	2.58	1.20	2.16
Ccin:CC1G_11310T0	Ccin:CC1G_03282T0	3.13	1.21	2.60
Ccin:CC1G_04734T0	Ccin:CC1G_03282T0	1.85	0.84	2.19
Ccin:CC1G_04958T0	Ccin:CC1G_04963T0	NA	0.40	NA
Ccin:CC1G_04958T0	Ccin:CC1G_04956T0	NA	0.38	NA
Ccin:CC1G_04963T0	Ccin:CC1G_04956T0	NA	0.38	NA
Ccin:CC1G_04958T0	Ccin:CC1G_07846T0	3.72	1.56	2.39
Ccin:CC1G_04956T0	Ccin:CC1G_07846T0	3.17	1.50	2.11
Ccin:CC1G_11089T0	Ccin:CC1G_08095T0	2.46	0.97	2.55
Ccin:CC1G_08095T0	Ccin:CC1G_07741T0	NA	1.48	NA
Ccin:CC1G_11089T0	Ccin:CC1G_05916T0	3.82	0.98	3.90
Ccin:CC1G_08095T0	Ccin:CC1G_05916T0	NA	0.92	NA
Ccin:CC1G_11089T0	Ccin:CC1G_08155T0	3.71	1.08	3.42
Ccin:CC1G_07741T0	Ccin:CC1G_08155T0	3.09	1.06	2.91
Ccin:CC1G_05916T0	Ccin:CC1G_08155T0	NA	1.10	NA
Ccin:CC1G_08095T0	Ccin:CC1G_08163T0	NA	0.94	NA
Ccin:CC1G_07741T0	Ccin:CC1G_08163T0	NA	0.94	NA
Ccin:CC1G_08155T0	Ccin:CC1G_08163T0	NA	0.60	NA
Ccin:CC1G_06679T0	Ccin:CC1G_09366T0	2.16	0.63	3.43
Ccin:CC1G_09366T0	Ccin:CC1G_06517T0	2.16	0.86	2.50
Ccin:CC1G_06679T0	Ccin:CC1G_10428T0	NA	0.69	NA
Ccin:CC1G_06517T0	Ccin:CC1G_10428T0	2.80	0.78	3.57
Ccin:CC1G_06679T0	Ccin:CC1G_03555T0	1.77	0.56	3.16
Ccin:CC1G_06517T0	Ccin:CC1G_03555T0	2.04	0.66	3.07
Ccin:CC1G_10428T0	Ccin:CC1G_03555T0	NA	0.53	NA
Ccin:CC1G_09366T0	Ccin:CC1G_11068T0	NA	0.60	NA
Ccin:CC1G_06517T0	Ccin:CC1G_11068T0	NA	0.77	NA
Ccin:CC1G_10428T0	Ccin:CC1G_11068T0	NA	0.54	NA
Ccin:CC1G_03555T0	Ccin:CC1G_11068T0	NA	0.47	NA
Ccin:CC1G_06679T0	Ccin:CC1G_15190T0	2.26	1.21	1.86
Ccin:CC1G_09366T0	Ccin:CC1G_15190T0	2.36	0.62	3.80
Ccin:CC1G_06517T0	Ccin:CC1G_15190T0	1.90	0.91	2.09
Ccin:CC1G_10428T0	Ccin:CC1G_15190T0	NA	0.56	NA
Ccin:CC1G_03555T0	Ccin:CC1G_15190T0	1.39	0.48	2.92
Ccin:CC1G_11068T0	Ccin:CC1G_15190T0	NA	0.30	NA
Ccin:CC1G_06679T0	Ccin:CC1G_07664T0	2.70	0.61	4.46
Ccin:CC1G_09366T0	Ccin:CC1G_07664T0	NA	0.60	NA
Ccin:CC1G_10428T0	Ccin:CC1G_07664T0	NA	0.65	NA
Ccin:CC1G_03555T0	Ccin:CC1G_07664T0	NA	0.51	NA
Ccin:CC1G_11068T0	Ccin:CC1G_07664T0	3.29	0.49	6.76
Ccin:CC1G_15190T0	Ccin:CC1G_07664T0	NA	0.48	NA
Ccin:CC1G_09366T0	Ccin:CC1G_09420T0	NA	0.55	NA
Ccin:CC1G_06517T0	Ccin:CC1G_09420T0	2.70	0.73	3.71
Ccin:CC1G_10428T0	Ccin:CC1G_09420T0	NA	0.54	NA
Ccin:CC1G_03555T0	Ccin:CC1G_09420T0	3.21	0.45	7.06
Ccin:CC1G_15190T0	Ccin:CC1G_09420T0	NA	0.54	NA
Ccin:CC1G_07664T0	Ccin:CC1G_09420T0	3.32	0.55	6.00
Ccin:CC1G_06679T0	Ccin:CC1G_03490T0	NA	0.60	NA
Ccin:CC1G_09366T0	Ccin:CC1G_03490T0	NA	0.60	NA
Ccin:CC1G_06517T0	Ccin:CC1G_03490T0	4.68	0.77	6.04
Ccin:CC1G_10428T0	Ccin:CC1G_03490T0	NA	0.58	NA
Ccin:CC1G_03555T0	Ccin:CC1G_03490T0	NA	0.47	NA
Ccin:CC1G_11068T0	Ccin:CC1G_03490T0	2.95	0.32	9.23
Ccin:CC1G_15190T0	Ccin:CC1G_03490T0	NA	0.33	NA
Ccin:CC1G_07664T0	Ccin:CC1G_03490T0	NA	0.43	NA
Ccin:CC1G_09420T0	Ccin:CC1G_03490T0	3.71	0.50	7.44
Ccin:CC1G_06679T0	Ccin:CC1G_03554T0	1.64	0.60	2.73
Ccin:CC1G_09366T0	Ccin:CC1G_03554T0	2.41	0.64	3.77
Ccin:CC1G_06517T0	Ccin:CC1G_03554T0	2.32	0.73	3.16
Ccin:CC1G_10428T0	Ccin:CC1G_03554T0	3.75	0.55	6.79
Ccin:CC1G_03555T0	Ccin:CC1G_03554T0	1.35	0.49	2.78
Ccin:CC1G_11068T0	Ccin:CC1G_03554T0	2.84	0.51	5.56
Ccin:CC1G_07664T0	Ccin:CC1G_03554T0	2.36	0.56	4.18
Ccin:CC1G_09420T0	Ccin:CC1G_03554T0	2.50	0.48	5.20
Ccin:CC1G_03490T0	Ccin:CC1G_03554T0	NA	0.48	NA
Ccin:CC1G_09366T0	Ccin:CC1G_14552T0	NA	0.84	NA
Ccin:CC1G_06517T0	Ccin:CC1G_14552T0	2.54	0.72	3.55
Ccin:CC1G_10428T0	Ccin:CC1G_14552T0	NA	0.81	NA
Ccin:CC1G_03555T0	Ccin:CC1G_14552T0	2.00	0.80	2.50
Ccin:CC1G_15190T0	Ccin:CC1G_14552T0	2.38	0.78	3.06
Ccin:CC1G_07664T0	Ccin:CC1G_14552T0	NA	0.84	NA
Ccin:CC1G_03490T0	Ccin:CC1G_14552T0	NA	0.76	NA
Ccin:CC1G_09028T0	Ccin:CC1G_09836T0	NA	0.84	NA
Ccin:CC1G_09583T0	Ccin:CC1G_09836T0	NA	0.96	NA
Ccin:CC1G_09028T0	Ccin:CC1G_09033T0	NA	0.22	NA
Ccin:CC1G_09583T0	Ccin:CC1G_09033T0	NA	0.87	NA
Ccin:CC1G_09836T0	Ccin:CC1G_09033T0	2.92	0.81	3.60
Ccin:CC1G_08589T0	Ccin:CC1G_08584T0	NA	0.53	NA
Ccin:CC1G_08589T0	Ccin:CC1G_05724T0	NA	0.99	NA
Ccin:CC1G_07092T0	Ccin:CC1G_14847T0	NA	1.10	NA
Ccin:CC1G_14847T0	Ccin:CC1G_00813T0	NA	0.96	NA
Ccin:CC1G_14847T0	Ccin:CC1G_00791T0	NA	0.94	NA
Ccin:CC1G_00813T0	Ccin:CC1G_00791T0	NA	0.50	NA
Ccin:CC1G_01155T0	Ccin:CC1G_02230T0	NA	0.62	NA
Ccin:CC1G_01155T0	Ccin:CC1G_03243T0	NA	0.86	NA
Ccin:CC1G_02230T0	Ccin:CC1G_03243T0	NA	0.97	NA
Ccin:CC1G_02230T0	Ccin:CC1G_03245T0	NA	0.99	NA
Ccin:CC1G_03243T0	Ccin:CC1G_03245T0	NA	0.59	NA
Ccin:CC1G_01155T0	Ccin:CC1G_03257T0	2.46	1.02	2.40
Ccin:CC1G_02230T0	Ccin:CC1G_03257T0	3.24	0.86	3.75
Ccin:CC1G_03243T0	Ccin:CC1G_03257T0	NA	0.51	NA
Ccin:CC1G_03245T0	Ccin:CC1G_03257T0	NA	0.57	NA
Ccin:CC1G_01155T0	Ccin:CC1G_05266T0	NA	0.98	NA
Ccin:CC1G_02230T0	Ccin:CC1G_05266T0	2.92	1.10	2.67
Ccin:CC1G_03243T0	Ccin:CC1G_05266T0	NA	0.77	NA
Ccin:CC1G_03245T0	Ccin:CC1G_05266T0	NA	0.62	NA
Ccin:CC1G_03257T0	Ccin:CC1G_05266T0	NA	0.58	NA
Ccin:CC1G_06411T0	Ccin:CC1G_11335T0	NA	0.43	NA
Ccin:CC1G_06411T0	Ccin:CC1G_07877T0	NA	0.76	NA
Ccin:CC1G_06411T0	Ccin:CC1G_11635T0	NA	0.69	NA
Ccin:CC1G_11335T0	Ccin:CC1G_11635T0	2.28	0.57	4.00
Ccin:CC1G_07877T0	Ccin:CC1G_11635T0	NA	0.34	NA
Ccin:CC1G_06411T0	Ccin:CC1G_11634T0	NA	0.66	NA
Ccin:CC1G_11335T0	Ccin:CC1G_11634T0	2.99	0.59	5.09
Ccin:CC1G_07877T0	Ccin:CC1G_11634T0	3.01	0.31	9.80
Ccin:CC1G_11635T0	Ccin:CC1G_11634T0	2.53	0.31	8.03
Ccin:CC1G_08843T0	Ccin:CC1G_08179T0	1.37	0.83	1.65
Ccin:CC1G_08843T0	Ccin:CC1G_14705T0	2.58	0.79	3.29
Ccin:CC1G_08179T0	Ccin:CC1G_14705T0	4.24	0.55	7.76
Ccin:CC1G_08843T0	Ccin:CC1G_10658T0	NA	0.39	NA
Ccin:CC1G_08179T0	Ccin:CC1G_10658T0	1.79	0.70	2.56
Ccin:CC1G_14705T0	Ccin:CC1G_10658T0	NA	0.84	NA
Ccin:CC1G_08843T0	Ccin:CC1G_11858T0	4.56	0.88	5.20
Ccin:CC1G_08179T0	Ccin:CC1G_11858T0	NA	0.99	NA
Ccin:CC1G_14705T0	Ccin:CC1G_11858T0	NA	1.01	NA
Ccin:CC1G_10658T0	Ccin:CC1G_11858T0	2.02	0.77	2.61
Ccin:CC1G_08843T0	Ccin:CC1G_08180T0	1.74	0.88	1.98
Ccin:CC1G_08179T0	Ccin:CC1G_08180T0	1.69	0.97	1.74
Ccin:CC1G_14705T0	Ccin:CC1G_08180T0	3.90	0.89	4.38
Ccin:CC1G_10658T0	Ccin:CC1G_08180T0	2.82	0.71	3.98
Ccin:CC1G_11858T0	Ccin:CC1G_08180T0	1.93	0.75	2.58
Ccin:CC1G_08843T0	Ccin:CC1G_08178T0	NA	1.02	NA
Ccin:CC1G_08179T0	Ccin:CC1G_08178T0	NA	1.02	NA
Ccin:CC1G_14705T0	Ccin:CC1G_08178T0	NA	0.88	NA
Ccin:CC1G_10658T0	Ccin:CC1G_08178T0	NA	1.01	NA
Ccin:CC1G_11858T0	Ccin:CC1G_08178T0	NA	0.85	NA
Ccin:CC1G_08180T0	Ccin:CC1G_08178T0	NA	0.50	NA
Ccin:CC1G_05651T0	Ccin:CC1G_15683T0	NA	1.75	NA
Ccin:CC1G_00306T0	Ccin:CC1G_15683T0	2.57	0.99	2.58
Ccin:CC1G_00306T0	Ccin:CC1G_09013T0	2.41	0.92	2.64
Ccin:CC1G_15683T0	Ccin:CC1G_09013T0	4.05	0.60	6.69
Ccin:CC1G_05651T0	Ccin:CC1G_10511T0	NA	1.73	NA
Ccin:CC1G_15683T0	Ccin:CC1G_10511T0	2.64	0.41	6.51
Ccin:CC1G_09013T0	Ccin:CC1G_10511T0	NA	0.65	NA
Ccin:CC1G_05651T0	Ccin:CC1G_14432T0	NA	1.65	NA
Ccin:CC1G_00306T0	Ccin:CC1G_14432T0	1.90	0.91	2.08
Ccin:CC1G_15683T0	Ccin:CC1G_14432T0	2.67	0.28	9.66
Ccin:CC1G_09013T0	Ccin:CC1G_14432T0	1.84	0.55	3.33
Ccin:CC1G_10511T0	Ccin:CC1G_14432T0	3.38	0.39	8.72
Ccin:CC1G_09960T0	Ccin:CC1G_08192T0	NA	1.54	NA
Ccin:CC1G_09960T0	Ccin:CC1G_08184T0	2.37	1.25	1.89
Ccin:CC1G_08192T0	Ccin:CC1G_08184T0	1.82	1.14	1.59
Ccin:CC1G_09960T0	Ccin:CC1G_11397T0	NA	1.15	NA
Ccin:CC1G_08192T0	Ccin:CC1G_11397T0	1.97	1.21	1.63
Ccin:CC1G_08184T0	Ccin:CC1G_11397T0	2.68	1.03	2.60
Ccin:CC1G_09960T0	Ccin:CC1G_08191T0	NA	1.34	NA
Ccin:CC1G_08192T0	Ccin:CC1G_08191T0	1.83	0.84	2.17
Ccin:CC1G_08184T0	Ccin:CC1G_08191T0	NA	1.14	NA
Ccin:CC1G_11397T0	Ccin:CC1G_08191T0	2.60	1.22	2.13
Ccin:CC1G_09960T0	Ccin:CC1G_08187T0	NA	1.42	NA
Ccin:CC1G_08192T0	Ccin:CC1G_08187T0	NA	1.25	NA
Ccin:CC1G_08184T0	Ccin:CC1G_08187T0	NA	1.04	NA
Ccin:CC1G_11397T0	Ccin:CC1G_08187T0	5.07	1.02	4.98
Ccin:CC1G_08191T0	Ccin:CC1G_08187T0	NA	0.94	NA
Ccin:CC1G_09960T0	Ccin:CC1G_09964T0	NA	1.08	NA
Ccin:CC1G_08192T0	Ccin:CC1G_09964T0	NA	1.17	NA
Ccin:CC1G_08184T0	Ccin:CC1G_09964T0	2.66	1.22	2.17
Ccin:CC1G_11397T0	Ccin:CC1G_09964T0	NA	1.11	NA
