#chrom	start	stop	class
I	317270	317448	Unknown:R326
I	324757	324855	Unknown:R166
I	326744	326842	Unknown:R166
I	327800	327884	Simple_repeat
I	331358	331394	Simple_repeat
I	388154	388217	Simple_repeat
I	398319	398354	Simple_repeat
I	421900	421955	Simple_repeat
I	422408	422433	Simple_repeat
I	422485	422514	Simple_repeat
I	422571	422591	Simple_repeat
I	424275	424343	Simple_repeat
I	452145	452484	Unknown:R74
I	453318	453374	Simple_repeat
I	457643	457770	Unknown:R275
I	465496	465581	Simple_repeat
I	488443	488463	Low_complexity
I	497671	497859	Unknown:R118
I	497904	498155	Unknown:R104
I	498157	498551	Unknown:R1
I	498645	498931	Unknown:R104
I	499264	499436	Unknown:R153
I	501854	503534	Unknown:R18
I	502045	504524	Unknown:R19
I	504524	505355	Unknown:R48
I	505357	505543	Unknown:R48
I	505382	508243	Unknown:R57
I	506081	511240	Unknown:R3
I	511251	512557	Unknown:R2
I	512555	514052	Unknown:R19
I	512938	515381	Unknown:R234
I	514570	516629	Unknown:R18
I	516824	516973	Unknown:R326
I	520034	520275	Unknown:R0
I	520277	520638	Unknown:R60
I	520517	520775	Unknown:R199
I	520764	521031	Unknown:R68
I	521782	521972	Unknown:R62
I	524044	524178	Unknown:R367
I	527334	528628	Unknown:R386
I	543948	543990	Simple_repeat
I	564055	564183	Simple_repeat
I	565642	565677	Simple_repeat
I	569829	569862	Simple_repeat
I	569878	570030	Simple_repeat
I	573420	573488	Unknown:R412
I	582688	582737	Simple_repeat
I	585642	585674	Simple_repeat
I	607218	607251	Simple_repeat
I	616232	616267	Simple_repeat
I	616539	616595	Simple_repeat
I	628573	628761	Unknown:R244
I	628664	629210	Unknown:R103
I	629474	630066	Unknown:R103
I	629620	630146	Unknown:R46
I	633642	633681	Simple_repeat
I	637752	637935	Unknown:R25
I	637771	638097	Unknown:R143
I	655937	656276	Unknown:R165
I	656275	656567	Unknown:R40
I	656897	656926	Simple_repeat
I	658332	658394	Simple_repeat
I	659847	659901	Simple_repeat
I	660563	660616	Simple_repeat
I	661992	662068	Simple_repeat
I	662431	662538	Unknown:R42
I	662447	662484	Unknown:R16
I	698771	699660	Unknown:R188
I	699751	700028	Unknown:R286
I	700030	701202	Unknown:R96
I	701146	701955	Unknown:R64
I	701931	702428	Unknown:R119
I	706693	706795	Unknown:R188
I	706959	707850	Unknown:R188
I	707940	708217	Unknown:R286
I	708219	709392	Unknown:R96
I	709297	710111	Unknown:R64
I	710087	710577	Unknown:R119
I	710734	710850	Unknown:R41
I	710804	711150	Unknown:R465
I	711030	711788	Unknown:R188
I	711882	712157	Unknown:R286
I	712422	713148	Unknown:R96
I	726884	726911	Low_complexity
I	736114	736217	Simple_repeat
I	743202	743386	Unknown:R76
I	749538	749577	Simple_repeat
I	756983	757961	Unknown:R96
I	757974	758249	Unknown:R286
I	758339	759098	Unknown:R188
I	758978	759324	Unknown:R465
I	759278	759399	Unknown:R41
I	759560	760047	Unknown:R119
I	760023	760792	Unknown:R64
I	760728	761868	Unknown:R96
I	761884	762151	Unknown:R286
I	762244	763136	Unknown:R188
I	766970	767005	Simple_repeat
I	792927	792996	Unknown:R469
I	804181	804253	Unknown:R220
I	814087	814131	Simple_repeat
I	826230	826279	Simple_repeat
I	827418	827507	Simple_repeat
I	829418	829463	Simple_repeat
I	830751	830822	Simple_repeat
I	836504	836621	Unknown:R408
I	853277	853308	Simple_repeat
I	853413	853454	Unknown:R55
I	865378	865412	Simple_repeat
I	899549	899582	Simple_repeat
I	950082	950113	Simple_repeat
I	961383	961507	Simple_repeat
I	961513	961547	Low_complexity
I	966432	966476	Simple_repeat
I	968858	968890	Simple_repeat
I	969043	969076	Simple_repeat
I	979672	979753	Simple_repeat
I	979672	979714	Simple_repeat
I	994450	994504	Unknown:R271
I	998733	998757	Simple_repeat
I	1007118	1007138	Low_complexity
I	1011287	1011328	Simple_repeat
I	1016436	1016462	Simple_repeat
I	1020377	1020399	Low_complexity
I	1034191	1034327	Unknown:R218
I	1035667	1035725	Unknown:R461
I	1037374	1037551	Unknown:R258
I	1055495	1055543	Simple_repeat
I	1055611	1055674	Simple_repeat
I	1057866	1057886	Simple_repeat
I	1065925	1066444	Unknown:R54
I	1069297	1069317	Low_complexity
I	1072633	1072878	Unknown:R54
I	1081287	1081391	Unknown:R106
I	1114426	1114466	Simple_repeat
I	1133151	1133248	Unknown:R66
I	1133289	1133418	Unknown:R294
I	1133470	1133709	Unknown:R123
I	1133710	1133882	Unknown:R66
I	1143623	1143664	Unknown:R73
I	1147104	1147227	Simple_repeat
I	1169998	1170270	Unknown:R6
I	1170270	1170663	Unknown:R1
I	1170664	1172168	Unknown:R6
I	1172169	1172243	Unknown:R136
I	1172207	1172310	Unknown:R346
I	1172297	1172538	Unknown:R259
I	1172637	1174349	Unknown:R35
I	1173678	1178376	Unknown:R6
I	1178377	1178451	Unknown:R136
I	1178415	1178518	Unknown:R346
I	1178505	1178744	Unknown:R259
I	1178843	1180559	Unknown:R35
I	1179888	1183208	Unknown:R6
I	1183407	1183572	Unknown:R251
I	1183732	1183783	Unknown:R1
I	1183771	1184072	Unknown:R1
I	1184750	1185016	Unknown:R14
I	1185026	1185238	Unknown:R152
I	1185230	1185726	Unknown:R7
I	1185727	1186087	Unknown:R152
I	1186084	1186279	Unknown:R209
I	1186291	1186630	Unknown:R48
I	1186630	1187132	Unknown:R44
I	1187132	1187169	Unknown:R111
I	1187169	1187764	Unknown:R73
I	1187324	1188602	Unknown:R45
I	1188335	1189193	Unknown:R23
I	1189433	1189454	Simple_repeat
I	1190391	1190655	Unknown:R42
I	1191010	1191108	Unknown:R83
I	1191108	1191684	Unknown:R44
I	1191673	1192081	Unknown:R111
I	1192076	1192188	Unknown:R73
I	1192189	1193192	Unknown:R45
I	1193154	1193211	Unknown:R23
I	1193212	1193537	Unknown:R23
I	1193540	1193670	Unknown:R23
I	1194654	1194781	Unknown:R45
I	1194781	1195061	Unknown:R73
I	1195059	1195196	Unknown:R73
I	1195174	1195548	Unknown:R23
I	1195571	1196004	Unknown:R111
I	1195802	1196257	Unknown:R44
I	1196284	1197424	Unknown:R18
I	1197425	1197631	Unknown:R14
I	1197622	1198343	Unknown:R152
I	1198366	1198544	Unknown:R81
I	1199314	1200058	Unknown:R29
I	1200057	1200359	Unknown:R22
I	1200359	1200746	Unknown:R1
I	1200740	1200796	Unknown:R22
I	1200841	1201338	Unknown:R22
I	1202055	1202362	Unknown:R11
I	1204945	1205063	Simple_repeat
I	1206370	1206398	Low_complexity
I	1206772	1206827	Simple_repeat
I	1212283	1212826	Unknown:R13
I	1212813	1217558	Unknown:R13
I	1217476	1217835	Unknown:R13
I	1218098	1218602	Unknown:R89
I	1218650	1218969	Unknown:R29
I	1218973	1219122	Unknown:R152
I	1219038	1219268	Unknown:R208
I	1219258	1219748	Unknown:R2
I	1219746	1219986	Unknown:R136
I	1219863	1220054	Unknown:R59
I	1220054	1220403	Unknown:R48
I	1220404	1220509	Unknown:R8
I	1220505	1220565	Unknown:R24
I	1234289	1234489	Unknown:R162
I	1256633	1256680	Simple_repeat
I	1306903	1306927	Simple_repeat
I	1307039	1307196	Simple_repeat
I	1324709	1324837	Simple_repeat
I	1332547	1332585	Simple_repeat
I	1332608	1332648	Simple_repeat
I	1351803	1351842	Simple_repeat
I	1417557	1417639	Simple_repeat
I	1459822	1459886	Simple_repeat
I	1516477	1516582	Unknown:R106
I	1516959	1517152	Unknown:R154
I	1517368	1517429	Unknown:R290
I	1517547	1517754	Unknown:R245
I	1521709	1521776	Simple_repeat
I	1555488	1555554	Simple_repeat
I	1558987	1559226	Unknown:R275
I	1559234	1559373	Unknown:R268
I	1559380	1559508	Unknown:R471
I	1560765	1560790	Simple_repeat
I	1562705	1562733	Simple_repeat
I	1588636	1588656	Simple_repeat
I	1609587	1609607	Simple_repeat
I	1615704	1616045	Unknown:R74
I	1681036	1681056	Simple_repeat
I	1725698	1725720	Simple_repeat
I	1752447	1752524	Simple_repeat
I	1753422	1753514	Simple_repeat
I	1756009	1756410	Unknown:R440
I	1841492	1841569	Unknown:R3
I	1873242	1873422	Simple_repeat
I	1873315	1873493	Simple_repeat
I	1874098	1874130	Simple_repeat
I	1887773	1887805	Simple_repeat
I	1894052	1894116	Simple_repeat
I	1894166	1894238	Simple_repeat
I	1931586	1931610	Simple_repeat
I	1948194	1948235	Unknown:R412
I	1974795	1974835	Simple_repeat
I	1999893	1999930	Unknown:R412
I	2016252	2016278	Simple_repeat
I	2079699	2079719	Low_complexity
I	2080304	2080381	Simple_repeat
I	2103667	2103738	Simple_repeat
I	2104824	2105002	Simple_repeat
I	2114305	2114360	Simple_repeat
I	2115643	2115671	Simple_repeat
I	2174582	2174814	Unknown:R163
I	2174907	2175149	Unknown:R280
I	2177325	2177393	Simple_repeat
I	2207539	2207623	Simple_repeat
I	2211423	2211499	Simple_repeat
I	2326337	2326419	Unknown:R433
I	2384117	2384235	Unknown:R187
I	2387875	2387944	Simple_repeat
I	2420723	2420802	Simple_repeat
I	2454360	2454439	Simple_repeat
I	2544193	2544335	Simple_repeat
I	2544229	2544335	Simple_repeat
I	2544263	2544391	Simple_repeat
I	2544436	2544594	Simple_repeat
I	2544558	2544648	Simple_repeat
I	2545014	2545066	Simple_repeat
I	2558673	2558743	Simple_repeat
I	2569063	2569123	Simple_repeat
I	2575278	2575305	Simple_repeat
I	2585160	2585269	Simple_repeat
I	2586960	2587047	Simple_repeat
I	2605297	2605355	Simple_repeat
I	2746693	2746781	Unknown:R68
I	2764186	2764239	Simple_repeat
I	2764862	2764916	Simple_repeat
I	2787345	2787402	Simple_repeat
I	2821522	2821555	Simple_repeat
I	2845097	2845130	Simple_repeat
I	2876914	2876995	Simple_repeat
I	2913677	2914479	Unknown:R71
I	2928468	2928522	Simple_repeat
I	2948339	2948392	Simple_repeat
I	2996110	2996171	Simple_repeat
I	2996743	2996800	Simple_repeat
I	3026121	3026168	Simple_repeat
I	3057506	3057548	Simple_repeat
I	3064152	3064201	Simple_repeat
I	3072742	3072765	Simple_repeat
I	3081016	3081036	Low_complexity
I	3117064	3117179	Simple_repeat
I	3121831	3121851	Simple_repeat
I	3134853	3134879	Simple_repeat
I	3178925	3178965	Simple_repeat
I	3180563	3180609	Simple_repeat
I	3189742	3189787	Simple_repeat
I	3275260	3275302	Simple_repeat
I	3295052	3295118	Simple_repeat
I	3300312	3300495	Unknown:R25
I	3300331	3300657	Unknown:R143
I	3323220	3323395	Simple_repeat
I	3333670	3333732	Simple_repeat
I	3337659	3337685	Simple_repeat
I	3345268	3345292	Simple_repeat
I	3347936	3348429	Unknown:R0
I	3350605	3350817	Unknown:R13
I	3350620	3350783	Unknown:R73
I	3371838	3371864	Simple_repeat
I	3376627	3376687	Simple_repeat
I	3378582	3378636	Simple_repeat
I	3389607	3389644	Simple_repeat
I	3389704	3389737	Simple_repeat
I	3408874	3408953	Simple_repeat
I	3461487	3461550	Simple_repeat
I	3471501	3471523	Simple_repeat
I	3484566	3484587	Low_complexity
I	3486557	3486612	Simple_repeat
I	3489801	3489823	Simple_repeat
I	3490893	3490927	Simple_repeat
I	3492475	3492551	Simple_repeat
I	3520779	3520809	Unknown:R289
I	3527572	3527660	Unknown:R56
I	3535432	3535480	Simple_repeat
I	3536213	3536388	Unknown:R71
I	3536807	3536989	Unknown:R71
I	3583181	3583216	Simple_repeat
I	3583829	3583901	Unknown:R56
I	3595030	3595049	Simple_repeat
I	3619139	3619202	Simple_repeat
I	3619474	3619542	Simple_repeat
I	3651174	3651489	Unknown:R92
I	3657706	3657851	Simple_repeat
I	3658675	3658727	Unknown:R0
I	3658915	3658971	Simple_repeat
I	3669258	3669398	Unknown:R217
I	3669591	3669879	Unknown:R147
I	3670141	3670343	Unknown:R174
I	3681533	3682302	Unknown:R54
I	3687603	3688113	Unknown:R5
I	3697855	3697991	Simple_repeat
I	3703277	3703479	Unknown:R174
I	3703741	3704029	Unknown:R147
I	3704222	3704360	Unknown:R217
I	3711397	3711460	Simple_repeat
I	3717930	3718015	Unknown:R32
I	3718288	3718382	Unknown:R433
I	3722261	3722346	Unknown:R32
I	3745865	3745912	Unknown:R145
I	3758541	3759282	Unknown:R30
I	3783074	3783101	Simple_repeat
I	3794051	3794076	Simple_repeat
I	3816803	3816854	Simple_repeat
I	3824881	3824956	Simple_repeat
I	3825128	3825222	Simple_repeat
I	3825254	3825284	Simple_repeat
I	3826596	3826619	Simple_repeat
I	3827620	3827641	Simple_repeat
I	3832533	3832584	Simple_repeat
I	3833446	3833477	Simple_repeat
I	3838459	3838594	Unknown:R116
I	3841270	3841664	Unknown:R1
I	3844287	3844359	Simple_repeat
I	3848896	3848971	Simple_repeat
I	3851479	3851708	Unknown:R116
I	3858598	3858767	Unknown:R116
I	3863977	3864074	Unknown:R409
I	3864631	3865046	Unknown:R31
I	3874701	3874802	Simple_repeat
I	3874729	3874804	Simple_repeat
I	3875447	3875947	Unknown:R34
I	3888444	3888532	Simple_repeat
I	3892580	3893172	Unknown:R18
I	3900328	3900622	Unknown:R116
I	3902459	3902729	Unknown:R116
I	3910449	3910470	Low_complexity
I	3910451	3910472	Low_complexity
I	3910746	3910775	Simple_repeat
I	3914877	3914901	Simple_repeat
I	3929394	3929494	Unknown:R322
I	3929460	3929562	Unknown:R395
I	3929747	3929927	Unknown:R189
I	3929920	3930208	Unknown:R181
I	3935065	3935159	Simple_repeat
I	3937136	3937194	Simple_repeat
I	3941691	3942106	Unknown:R31
I	3945420	3945737	Unknown:R116
I	3954716	3954771	Simple_repeat
I	3955421	3955705	Unknown:R116
I	3957665	3957954	Unknown:R116
I	3965488	3965508	Simple_repeat
I	3967223	3967251	Simple_repeat
I	3967440	3967604	Simple_repeat
I	3967607	3967660	Simple_repeat
I	3973113	3973407	Unknown:R116
I	3974996	3975303	Unknown:R116
I	3977278	3977546	Unknown:R116
I	3980237	3980268	Simple_repeat
I	3984122	3984431	Unknown:R116
I	3987387	3987421	Simple_repeat
I	3992404	3992424	Simple_repeat
I	3995300	3995412	Unknown:R116
I	4000971	4001084	Unknown:R408
I	4001387	4001415	Simple_repeat
I	4006384	4006496	Unknown:R116
I	4014940	4014965	Simple_repeat
I	4031925	4032034	Unknown:R399
I	4032189	4032613	Unknown:R273
I	4032444	4033096	Unknown:R116
I	4032754	4032909	Unknown:R319
I	4033861	4033950	Unknown:R480
I	4033992	4034118	Unknown:R323
I	4034129	4034633	Unknown:R292
I	4035021	4035130	Unknown:R399
I	4035284	4035711	Unknown:R273
I	4035712	4036019	Unknown:R24
I	4036046	4036489	Unknown:R116
I	4036168	4036323	Unknown:R319
I	4037347	4037456	Unknown:R399
I	4037607	4037906	Unknown:R273
I	4039504	4039557	Simple_repeat
I	4040382	4040491	Unknown:R399
I	4040645	4041069	Unknown:R273
I	4040902	4041566	Unknown:R116
I	4041210	4041365	Unknown:R319
I	4050973	4051041	Simple_repeat
I	4051056	4051166	Simple_repeat
I	4051175	4051223	Simple_repeat
I	4058365	4058394	Simple_repeat
I	4062364	4062391	Simple_repeat
I	4065752	4065796	Simple_repeat
I	4066706	4066874	Simple_repeat
I	4066907	4067035	Simple_repeat
I	4072596	4073668	Unknown:R13
I	4074329	4074353	Simple_repeat
I	4075897	4076563	Unknown:R116
I	4076099	4076254	Unknown:R319
I	4076395	4076817	Unknown:R273
I	4076974	4077083	Unknown:R399
I	4080516	4080726	Unknown:R284
I	4081138	4081220	Simple_repeat
I	4084523	4084636	Simple_repeat
I	4089227	4089389	Simple_repeat
I	4107465	4107521	Simple_repeat
I	4118020	4118073	Unknown:R79
I	4129536	4129601	Simple_repeat
I	4130551	4131051	Unknown:R34
I	4131624	4135574	Unknown:R7
I	4133794	4138510	Unknown:R20
I	4137054	4139150	Unknown:R89
I	4139296	4139358	Unknown:R339
I	4139335	4139387	Unknown:R339
I	4139387	4139433	Unknown:R26
I	4141915	4142039	Unknown:R132
I	4142052	4142194	Unknown:R114
I	4142140	4142582	Unknown:R140
I	4142636	4142662	Simple_repeat
I	4142995	4143021	Low_complexity
I	4143680	4143858	Simple_repeat
I	4145774	4145793	Simple_repeat
X	35	73	Simple_repeat
X	9072	9246	Simple_repeat
X	9180	9324	Simple_repeat
X	13692	13803	Simple_repeat
X	14084	14261	Unknown:R422
X	15694	15758	Unknown:R374
X	15704	15765	Unknown:R374
X	15707	15813	Unknown:R374
X	15826	15917	Unknown:R374
X	15852	15925	Unknown:R374
X	15880	15972	Unknown:R374
X	15941	15991	Unknown:R150
X	15963	16033	Unknown:R340
X	16025	16085	Unknown:R150
X	16048	16129	Unknown:R340
X	16144	16289	Unknown:R9
X	16288	16320	Unknown:R374
X	16324	16404	Unknown:R340
X	16396	16456	Unknown:R150
X	16419	16500	Unknown:R340
X	16515	16660	Unknown:R9
X	16656	16786	Unknown:R97
X	16701	16898	Unknown:R97
X	16832	17003	Unknown:R97
X	16883	17023	Unknown:R97
X	16989	17111	Unknown:R97
X	17092	17366	Unknown:R97
X	17678	17794	Unknown:R335
X	24423	24497	Simple_repeat
X	24681	24826	Simple_repeat
X	24688	24791	Simple_repeat
X	25904	25983	Simple_repeat
X	26133	26167	Simple_repeat
X	26891	26994	Simple_repeat
X	32896	33350	Unknown:R79
X	43902	43975	Unknown:R409
X	46505	46598	Simple_repeat
X	50858	51300	Unknown:R287
X	51286	51477	Unknown:R62
X	52345	54013	Unknown:R4
X	53586	57373	Unknown:R50
X	55340	58982	Unknown:R122
X	58394	62910	Unknown:R184
X	61681	64447	Unknown:R195
X	64409	64669	Unknown:R277
X	64671	65240	Unknown:R354
X	65242	66131	Unknown:R205
X	66118	68604	Unknown:R151
X	67838	69962	Unknown:R353
X	68729	70394	Unknown:R4
X	73111	73208	Unknown:R66
X	73249	73397	Unknown:R294
X	73461	73701	Unknown:R123
X	73712	73885	Unknown:R66
X	74792	74837	Simple_repeat
X	83271	83412	Unknown:R433
X	89144	89236	Unknown:R302
X	89636	89702	Unknown:R418
X	90237	90386	Unknown:R307
X	98454	98475	Low_complexity
X	100208	100260	Simple_repeat
X	104104	104342	Unknown:R222
X	114421	114450	Simple_repeat
X	121883	121981	Unknown:R166
X	122300	122341	Simple_repeat
X	123644	123698	Simple_repeat
X	124836	124908	Unknown:R220
X	125441	125528	Unknown:R175
X	125706	125758	Unknown:R87
X	126634	126770	Unknown:R157
X	129370	129481	Unknown:R102
X	144647	144671	Simple_repeat
X	147098	147123	Simple_repeat
X	148174	148257	Simple_repeat
X	154486	154597	Simple_repeat
X	156953	157000	Simple_repeat
X	158264	158299	Simple_repeat
X	158970	158992	Simple_repeat
X	167883	167935	Simple_repeat
X	167977	168035	Simple_repeat
X	176226	176420	Unknown:R85
X	182157	182247	Simple_repeat
X	184219	184334	Simple_repeat
X	184991	185134	Simple_repeat
X	185139	185224	Simple_repeat
X	185260	185286	Simple_repeat
X	187362	187408	Simple_repeat
X	187841	187868	Simple_repeat
X	188654	188750	Unknown:R124
X	197303	197329	Simple_repeat
X	197494	197515	Simple_repeat
X	199684	199773	Unknown:R222
X	206142	206226	Unknown:R175
X	206398	206450	Unknown:R87
X	207231	207367	Unknown:R157
X	226057	226581	Unknown:R46
X	226332	226614	Unknown:R425
X	226608	226770	Unknown:R330
X	226708	226842	Unknown:R507
X	226878	227375	Unknown:R425
X	226979	227566	Unknown:R103
X	227465	227675	Unknown:R244
X	245334	245412	Simple_repeat
X	264351	264378	Simple_repeat
X	276285	276380	Simple_repeat
X	276479	276565	Simple_repeat
X	277086	277213	Unknown:R433
X	277526	277648	Unknown:R433
X	284985	285023	Simple_repeat
X	292135	292427	Unknown:R40
X	334865	334891	Simple_repeat
X	338039	338096	Simple_repeat
X	338304	338408	Simple_repeat
X	339073	339187	Simple_repeat
X	339401	339451	Simple_repeat
X	339452	339482	Simple_repeat
X	339483	339575	Simple_repeat
X	369635	369728	Unknown:R166
X	391930	391955	Simple_repeat
X	393969	394019	Simple_repeat
X	398024	398055	Simple_repeat
X	399591	399691	Simple_repeat
X	401701	401870	Simple_repeat
X	406110	406148	Simple_repeat
X	417731	418446	Unknown:R70
X	426919	426991	Simple_repeat
X	434863	434888	Low_complexity
X	441422	441696	Unknown:R272
X	446476	446537	Simple_repeat
X	447455	447729	Unknown:R272
X	448684	449576	Unknown:R80
X	449501	449602	Unknown:R69
X	449975	450066	Unknown:R166
X	456335	456469	Unknown:R74
X	460764	460821	Unknown:R166
X	476843	477645	Unknown:R71
X	487306	487545	Unknown:R275
X	487563	487632	Unknown:R291
X	488202	489033	Unknown:R48
X	489314	493097	Unknown:R0
X	489759	494840	Unknown:R68
X	492076	496345	Unknown:R5
X	497207	497346	Unknown:R268
X	497360	497488	Unknown:R471
X	497449	497537	Unknown:R275
X	521928	522009	Unknown:R433
X	529245	529268	Simple_repeat
X	529849	529871	Simple_repeat
X	552917	552936	Simple_repeat
X	571342	571434	Simple_repeat
X	573145	573228	Unknown:R99
X	620646	620670	Simple_repeat
X	621311	621389	Simple_repeat
X	621730	621750	Simple_repeat
X	621872	621897	Simple_repeat
X	668986	669055	Unknown:R469
X	688879	688931	Simple_repeat
X	690681	690724	Simple_repeat
X	713567	713682	Simple_repeat
X	726125	726172	Unknown:R55
X	745300	745354	Simple_repeat
X	748802	748884	Unknown:R77
X	749239	749477	Unknown:R499
X	751795	752605	Unknown:R282
X	752778	753942	Unknown:R310
X	753731	754281	Unknown:R334
X	754037	754605	Unknown:R478
X	754379	755183	Unknown:R177
X	755173	756833	Unknown:R22
X	755941	758138	Unknown:R203
X	756961	762567	Unknown:R39
X	761219	764340	Unknown:R100
X	763435	766262	Unknown:R47
X	766264	768926	Unknown:R105
X	767324	770609	Unknown:R22
X	770601	770651	Unknown:R28
X	770740	776352	Unknown:R39
X	775001	778127	Unknown:R100
X	777222	780050	Unknown:R47
X	780052	782719	Unknown:R105
X	781116	784396	Unknown:R22
X	784504	785009	Unknown:R450
X	784772	785680	Unknown:R314
X	785762	785911	Unknown:R512
X	785913	786148	Unknown:R456
X	786475	787233	Unknown:R424
X	787233	787737	Unknown:R450
X	787500	788409	Unknown:R314
X	788410	788805	Unknown:R1
X	788895	789044	Unknown:R512
X	789046	789281	Unknown:R456
X	789610	790572	Unknown:R424
X	790571	791070	Unknown:R499
X	839787	839889	Simple_repeat
X	865184	865214	Simple_repeat
X	866344	866839	Unknown:R61
X	870984	871041	Simple_repeat
X	873219	873288	Simple_repeat
X	875267	876913	Unknown:R22
X	884118	884160	Simple_repeat
X	886052	886098	Simple_repeat
X	888993	889045	Unknown:R55
X	891277	891351	Unknown:R90
X	908377	908411	Simple_repeat
X	929378	929415	Simple_repeat
X	962480	962537	Unknown:R309
X	963754	963812	Unknown:R309
X	1029219	1031748	Unknown:R100
X	1030399	1036024	Unknown:R39
X	1034843	1037042	Unknown:R203
X	1036156	1037800	Unknown:R22
X	1040370	1040418	Simple_repeat
X	1052813	1052907	Simple_repeat
X	1053911	1054088	Simple_repeat
X	1060713	1060889	Simple_repeat
X	1065640	1065678	Simple_repeat
X	1087216	1087300	Unknown:R77
X	1152633	1153404	Unknown:R378
X	1152849	1156200	Unknown:R68
X	1154201	1156292	Unknown:R68
X	1156290	1159580	Unknown:R22
X	1157976	1160654	Unknown:R105
X	1160656	1163494	Unknown:R47
X	1162585	1165719	Unknown:R100
X	1164364	1169988	Unknown:R39
X	1168806	1171009	Unknown:R203
X	1170121	1171775	Unknown:R22
X	1173612	1173633	Simple_repeat
X	1178104	1181393	Unknown:R22
X	1179786	1182458	Unknown:R105
X	1182460	1185303	Unknown:R47
X	1184394	1187525	Unknown:R100
X	1186176	1191791	Unknown:R39
X	1190610	1192811	Unknown:R203
X	1191922	1193571	Unknown:R22
