#chrom	start	stop	block
III	2327641	2344626	Block_733
III	2586135	2706687	Block_712
III	1466079	1479101	Block_291
III	2488194	2511670	Block_731
III	629816	664361	Block_362
III	2244458	2277740	Block_716
III	2211775	2230415	Block_724
III	2971174	3000562	Block_736
III	2405491	2482520	Block_284
IV	2544891	2563745	Block_306
IV	1657722	1679964	Block_309
IV	1372862	1414042	Block_825
IV	2338576	2354177	Block_315
IV	2659543	2697826	Block_567
IV	426198	496804	Block_575
IV	1390678	1428149	Block_821
IV	2773372	2819929	Block_566
IV	2176504	2211090	Block_320
IV	2029042	2173645	Block_300
IV	1818499	1833542	Block_824
IV	1493718	1509861	Block_310
IV	3376622	3406434	Block_368
IV	1558463	1581216	Block_303
IV	1617480	1643575	Block_305
IV	1196758	1312120	Block_451
IV	275998	325966	Block_822
IV	2220749	2235969	Block_316
IV	2500731	2528083	Block_313
IV	1848597	1880745	Block_308
IV	1730570	1747607	Block_319
IV	403267	488350	Block_450
IV	1881891	1942090	Block_307
IV	2383019	2407301	Block_314
IV	2388604	2436077	Block_702
IV	153697	249660	Block_628
IV	1277268	1324745	Block_826
IV	1587144	1607379	Block_701
IV	1335947	1388746	Block_820
IV	970918	1051286	Block_292
IV	2575530	2605479	Block_318
IV	2236515	2274765	Block_301
IV	2275252	2317400	Block_304
IV	3130557	3158378	Block_369
IV	2867871	2953141	Block_568
IV	2323988	2337353	Block_312
IV	1995359	2015800	Block_302
IV	1696128	1730354	Block_317
IV	1449882	1490047	Block_823
IV	1789648	1816548	Block_311
V	2299506	2322400	Block_656
V	1794787	1923641	Block_643
V	2957819	2978313	Block_660
V	2131835	2171446	Block_503
V	2574299	2603420	Block_659
V	851276	903181	Block_470
V	1209129	1290061	Block_645
V	302728	356133	Block_469
V	1923825	2059723	Block_641
V	1586077	1615341	Block_654
V	1754902	1791445	Block_647
V	3009259	3056325	Block_650
V	1290336	1456802	Block_640
V	2770885	2802059	Block_661
V	752265	844013	Block_466
V	2635968	2653482	Block_662
V	2382471	2419558	Block_655
V	700382	725530	Block_471
V	903405	1123802	Block_501
V	1706507	1754190	Block_646
V	1125299	1142903	Block_468
V	1163640	1201853	Block_502
V	360884	388170	Block_475
V	582427	623863	Block_467
V	516159	527310	Block_474
V	1480485	1585461	Block_644
V	2464855	2475419	Block_663
V	677326	686293	Block_473
V	2672528	2729663	Block_653
V	393147	466642	Block_630
V	1621295	1649487	Block_651
V	3226943	3332622	Block_396
V	2431104	2464675	Block_649
V	559059	594605	Block_472
V	2491862	2518210	Block_657
V	2069510	2126241	Block_629
V	2349870	2379073	Block_652
V	2139308	2287199	Block_642
V	1651407	1702697	Block_648
V	2824303	2844009	Block_658
VI	693547	717444	Block_805
VI	1014990	1030402	Block_809
VI	1047519	1069224	Block_804
VI	1457898	1500205	Block_486
VI	566950	623577	Block_800
VI	1348237	1362367	Block_749
VI	912173	956348	Block_801
VI	740392	759095	Block_808
VI	780709	809738	Block_802
VI	472047	512881	Block_807
VI	206492	228807	Block_806
VI	394453	416568	Block_803
VII	594827	603656	Block_365
VII	1116284	1139923	Block_519
VII	1442010	1451364	Block_524
VII	658302	685360	Block_523
VII	2091106	2113429	Block_455
VII	1027538	1090023	Block_520
VII	1987567	2006526	Block_521
VII	2427016	2447815	Block_457
VII	2008514	2045227	Block_453
VII	1148324	1255917	Block_506
VII	402836	499247	Block_366
VII	1754105	1775647	Block_522
VII	1703544	1719516	Block_525
VII	2582017	2607665	Block_587
VII	838380	879025	Block_512
VII	1942820	1963204	Block_517
VII	2071682	2085412	Block_458
VII	2190788	2211500	Block_465
VII	2216446	2245951	Block_454
VII	1228455	1356517	Block_504
VII	2148867	2172014	Block_516
VII	2255916	2289915	Block_452
VII	1365713	1440226	Block_511
VII	1409623	1529330	Block_505
VII	1557063	1586212	Block_514
VII	738155	806829	Block_364
VII	1777311	1859268	Block_508
VII	937243	996260	Block_513
VII	922936	931598	Block_515
VII	485644	514545	Block_518
VII	1658208	1692198	Block_509
VII	2298618	2314811	Block_456
VII	1001110	1092833	Block_510
VII	1925844	2050249	Block_810
VII	1592793	1653472	Block_507
VIII	829920	936607	Block_588
VIII	1944915	1956594	Block_605
VIII	936800	964508	Block_594
VIII	1614083	1668551	Block_593
VIII	1706212	1718189	Block_607
VIII	1817658	1843646	Block_600
VIII	2095024	2108016	Block_638
VIII	488919	558535	Block_665
VIII	1176514	1187278	Block_610
VIII	1424413	1456070	Block_598
VIII	972930	1023971	Block_599
VIII	1547174	1563203	Block_609
VIII	733661	764357	Block_592
VIII	1846103	1902842	Block_595
VIII	1229106	1297545	Block_589
VIII	1040618	1095641	Block_590
VIII	1297810	1336295	Block_597
VIII	1214812	1225302	Block_606
VIII	1029735	1039700	Block_604
VIII	1120813	1147051	Block_601
VIII	354479	461001	Block_664
VIII	1343717	1401278	Block_591
VIII	1478676	1513637	Block_596
VIII	1719957	1745434	Block_602
VIII	1685182	1701613	Block_608
VIII	1401555	1424033	Block_603
IX	571174	594492	Block_571
IX	1259180	1290452	Block_342
IX	1597713	1615162	Block_347
IX	1775830	1806510	Block_346
IX	1856321	1893916	Block_341
IX	1679433	1697610	Block_353
IX	1421064	1458450	Block_354
IX	2172309	2229901	Block_349
IX	1586503	1596027	Block_352
IX	1112780	1146624	Block_344
IX	418728	438118	Block_570
IX	1291065	1317612	Block_351
IX	966002	988690	Block_350
IX	1486148	1521509	Block_348
IX	1897893	1928554	Block_345
IX	518290	533502	Block_367
IX	661645	694492	Block_573
IX	1552146	1567200	Block_343
